,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
2,1996-03-06,"REGENT ON THE PARK(Block 2),KENNEDY RD|御花園2座,堅尼地道",7444.217391304346,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",17.9,17.121699999999997,7783,7444.217391304346,6567442,4811527,ASP,HC,中環,1985/08,1985,40,A,21.0,2,blank,REGENT ON THE PARK,御花園,True
3,1996-04-16,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",8157.894736842105,1350,1140,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.3,9.3,8158,8157.894736842105,6598695,4826412,ASP,HC,中環,1985/08,1985,40,B,31.0,1,blank,REGENT ON THE PARK,御花園,False
7,1996-05-07,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",14422.695652173912,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",34.68,33.1722,15078,14422.695652173912,6629639,4839349,ASP,HC,中環,1985/08,1985,40,A,9.0,1,blank,REGENT ON THE PARK,御花園,True
11,1996-09-10,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",8002.456140350877,1350,1140,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.0,9.1228,8772,8002.456140350877,6758499,4882365,ASP,HC,中環,1985/08,1985,40,B,11.0,1,blank,REGENT ON THE PARK,御花園,True
12,1996-10-10,"REGENT ON THE PARK(Block 2),KENNEDY RD|御花園2座,堅尼地道",7851.782608695652,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",18.88,18.0591,8209,7851.782608695652,6794457,4893360,ASP,HC,中環,1985/08,1985,40,A,9.0,2,blank,REGENT ON THE PARK,御花園,True
13,1996-10-18,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",9357.282608695652,5440,4600,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",44.0,43.0435,9565,9357.282608695652,6810268,4906265,ASP,HC,中環,1985/08,1985,40,A,0.0,1,blank,REGENT ON THE PARK,御花園,True
14,1996-10-24,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",7485.826086956522,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",18.0,17.2174,7826,7485.826086956522,6822541,4920891,ASP,HC,中環,1985/08,1985,40,A,2.0,1,blank,REGENT ON THE PARK,御花園,True
16,1996-11-12,"REGENT ON THE PARK(Block 1),KENNEDY RD|御花園1座,堅尼地道",8642.631578947368,1350,1140,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.8,9.8526,9474,8642.631578947368,6837429,4913833,ASP,HC,中環,1985/08,1985,40,B,9.0,1,blank,REGENT ON THE PARK,御花園,True
17,1996-11-08,"REGENT ON THE PARK(Block 2),KENNEDY RD|御花園2座,堅尼地道",10347.08695652174,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",24.88,23.7983,10817,10347.08695652174,6837599,4913834,ASP,HC,中環,1985/08,1985,40,A,20.0,2,blank,REGENT ON THE PARK,御花園,True
18,1996-10-31,"REGENT ON THE PARK(Block 2),KENNEDY RD|御花園2座,堅尼地道",8983.0,2720,2300,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",21.6,20.6609,9391,8983.0,6844067,4901972,ASP,HC,中環,1985/08,1985,40,A,7.0,2,blank,REGENT ON THE PARK,御花園,True
