,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"VILLA ROCHA(Block B),BROADWOOD RD|樂翠台B座,樂活道",6160.510114335972,1313.0,1137.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.68,7.0045,6755.0,6160.510114335972,6448121.0,4774031.0,ASP,HHV,跑馬地/黃泥涌,1988/06,1988.0,38.0,3,19.0,B,blank,VILLA ROCHA,樂翠台,True
1,1995-11-01,"VILLA ROCHA(Block A),BROADWOOD RD|樂翠台A座,樂活道",5695.250659630606,1313.0,1137.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.1,6.475499999999999,6245.0,5695.250659630606,6449803.0,4774032.0,ASP,HHV,跑馬地/黃泥涌,1988/06,1988.0,38.0,3,3.0,A,blank,VILLA ROCHA,樂翠台,True
3,1995-11-01,"VILLA ROCHA(Block A),BROADWOOD RD|樂翠台A座,樂活道",6577.660510114336,1313.0,1137.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.2,7.4788,7212.0,6577.660510114336,6451556.0,4774033.0,ASP,HHV,跑馬地/黃泥涌,1988/06,1988.0,38.0,3,27.0,A,blank,VILLA ROCHA,樂翠台,True
4,1995-11-01,"BEVERLY HILL(Block J),BROADWOOD RD|比華利山J座,樂活道",6060.604026845637,1750.0,1490.0,"{'bay_window': '49', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.68,9.0303,6497.0,6060.604026845637,6451569.0,4773717.0,ASP,HHV,跑馬地/黃泥涌,1988/12,1988.0,38.0,2,35.0,J,blank,BEVERLY HILL,比華利山,True
7,1995-11-01,"MALIBU GARDEN,TSUI MAN ST|名仕花園,聚文街",6727.605118829982,683.0,547.0,"{'bay_window': '20', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.68,3.68,6728.0,6727.605118829982,6453261.0,4774331.0,ASP,HHV,跑馬地/黃泥涌,1991/11,1991.0,35.0,C,14.0,blank,blank,blank,,False
8,1995-11-01,"JARDINE'S LOOKOUT GARDEN MANSION,TAI HANG RD|渣甸山花園大廈,大坑道",5249.2252681764,0.0,839.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.0,4.4041,5959.0,5249.2252681764,6453490.0,4775620.0,ASP,HHV,跑馬地/黃泥涌,1961/06,1961.0,65.0,3,2.0,A,blank,blank,,True
9,1995-11-01,"THE BROADVILLE,BROADWOOD RD|樂活臺,樂活道",7004.081632653061,1531.0,1225.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.58,8.58,7004.0,7004.081632653061,6453615.0,4774397.0,ASP,HHV,跑馬地/黃泥涌,1993/03,1993.0,33.0,D,17.0,blank,blank,blank,,False
10,1995-11-01,"UNIQUE TOWER,WONG NAI CHUNG RD|旭逸閣,黃泥涌道",4761.9047619047615,426.0,315.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4762.0,4761.9047619047615,6454757.0,4774410.0,PRO-ASP,HHV,跑馬地/黃泥涌,1982/08,1982.0,44.0,C,14.0,blank,blank,blank,,False
11,1995-11-01,"CLAYMORE LODGE,VILLAGE RD|嘉樂居,山村道",6070.287539936102,426.0,313.0,"{'bay_window': '11', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.9,1.9,6070.0,6070.287539936102,6455079.0,4774191.0,ASP,HHV,跑馬地/黃泥涌,1990/01,1990.0,36.0,A,29.0,blank,blank,blank,,False
14,1995-11-01,"THE BROADVILLE,BROADWOOD RD|樂活臺,樂活道",6191.275167785235,1490.0,1192.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.38,7.38,6191.0,6191.275167785235,6457114.0,4774396.0,ASP,HHV,跑馬地/黃泥涌,1993/03,1993.0,33.0,B,5.0,blank,blank,blank,,False
16,1995-11-01,"BEVERLY HILL(Block A),BROADWOOD RD|比華利山A座,樂活道",5995.462686567164,1968.0,1675.0,"{'bay_window': '49', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.68,10.0424,6376.0,5995.462686567164,6457835.0,4776416.0,ASP,HHV,跑馬地/黃泥涌,1988/12,1988.0,38.0,1,8.0,A,blank,BEVERLY HILL,比華利山,True
17,1995-11-01,"ROCKWIN COURT,FUNG FAI TERR|樂榮閣,鳳輝臺",5652.173913043478,689.0,460.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.6,2.6,5652.0,5652.173913043478,6457956.0,4776075.0,ASP,HHV,跑馬地/黃泥涌,1988/08,1988.0,38.0,I,2.0,blank,blank,blank,,False
18,1995-11-01,"LA VOGUE COURT,VILLAGE RD|利華閣,山村道",4963.189568706119,1132.0,997.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.5,4.9483,5517.0,4963.189568706119,6458763.0,4775969.0,ASP,HHV,跑馬地/黃泥涌,1976/12,1976.0,50.0,A,19.0,blank,blank,blank,,True
19,1995-11-01,"BEVERLY HILL(Block B),BROADWOOD RD|比華利山B座,樂活道",7390.110650069157,1752.0,1446.0,"{'bay_window': '52', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.48,10.6861,7939.0,7390.110650069157,6459234.0,4776417.0,ASP,HHV,跑馬地/黃泥涌,1988/12,1988.0,38.0,1,27.0,B,blank,BEVERLY HILL,比華利山,True
20,1995-11-01,"LANDWOOD COURT(Block C,VILLA LOTTO),BROADWOOD RD|樂陶苑,C座(維勝閣),樂活道",6871.609403254973,1211.0,1106.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.6,7.6,6872.0,6871.609403254973,6459801.0,4777598.0,ASP,HHV,跑馬地/黃泥涌,1987/12,1987.0,39.0,8,24.0,C,blank,VILLA LOTTO,樂陶苑,False
