,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4943.661971830986,512.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.755,1.755,4944.0,4943.661971830986,6447168.0,4773596.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,A,8.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
1,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4573.529411764706,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.555,1.555,4574.0,4573.529411764706,6447169.0,4773597.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,4.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
2,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4807.073954983923,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.495,1.495,4807.0,4807.073954983923,6454126.0,4774258.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,5.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
3,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4881.028938906752,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.518,1.518,4881.0,4881.028938906752,6454127.0,4774259.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,6.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
4,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4764.705882352941,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.62,1.62,4765.0,4764.705882352941,6458681.0,4775922.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,6.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
5,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4485.294117647059,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.525,1.525,4485.0,4485.294117647059,6460853.0,4775923.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,3.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
6,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",5752.411575562701,499.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '224', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.789,1.789,5752.0,5752.411575562701,6460854.0,4775924.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,B,11.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
7,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4732.394366197183,512.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.68,1.68,4732.0,4732.394366197183,6465274.0,4778014.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,A,6.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
8,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4698.591549295775,512.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.668,1.668,4699.0,4698.591549295775,6470202.0,4778015.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,A,5.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
9,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4919.614147909968,499.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.53,1.53,4920.0,4919.614147909968,6471285.0,4780352.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,B,5.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
10,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4983.922829581994,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.55,1.55,4984.0,4983.922829581994,6471286.0,4780353.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,7.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
11,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4997.058823529412,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.699,1.699,4997.0,4997.058823529412,6471287.0,4780354.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,9.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
12,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4911.764705882353,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.67,1.67,4912.0,4911.764705882353,6471288.0,4780355.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,8.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
13,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4697.749196141479,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.461,1.461,4698.0,4697.749196141479,6475810.0,4782135.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,4.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
14,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4905.882352941177,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.668,1.668,4906.0,4905.882352941177,6476454.0,4782279.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,7.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
15,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4279.411764705882,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.455,1.455,4279.0,4279.411764705882,6476455.0,4782280.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,1.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
16,1995-12-12,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4938.906752411575,499.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.536,1.536,4939.0,4938.906752411575,6481131.0,4782522.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,B,4.0,blank,blank,blank,,False,POINT Z (22.2829013 114.1318356 0),22.2829013,114.1318356
