,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4943.661971830986,512.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.755,1.755,4944.0,4943.661971830986,6447168.0,4773596.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,A,8.0,blank,blank,blank,,False
1,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4573.529411764706,491.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.555,1.555,4574.0,4573.529411764706,6447169.0,4773597.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,D,4.0,blank,blank,blank,,False
3,1995-11-01,"ACADEMIC TERR(Block 2),POK FU LAM RD|學士臺2座,薄扶林道",5347.091932457786,620.0,533.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.85,2.85,5347.0,5347.091932457786,6448994.0,4773701.0,ASP,HKT,堅尼地城,1990/05,1990.0,36.0,D,8.0,2,blank,ACADEMIC TERR,學士臺,False
6,1995-11-01,"PEARL COURT(Block B),BELCHER'S ST|珍珠閣B座,卑路乍街",3935.185185185185,505.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,3935.0,3935.185185185185,6451055.0,4773912.0,ASP,HKT,堅尼地城,1980/01,1980.0,46.0,8,22.0,B,blank,PEARL COURT,珍珠閣,False
8,1995-11-01,"LUEN GAY APTS,BELCHER'S ST|聯基新樓,卑路乍街",3684.2105263157896,0.0,380.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.4,1.4,3684.0,3684.2105263157896,6451116.0,4773641.0,ASP,HKT,堅尼地城,1972/07,1972.0,54.0,3,21.0,blank,blank,blank,,False
9,1995-11-01,"LUEN YAU APTS,BELCHER'S ST|聯友新樓,卑路乍街",3422.4598930481284,0.0,374.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.28,1.28,3422.0,3422.4598930481284,6452019.0,4774329.0,ASP,HKT,堅尼地城,1972/02,1972.0,54.0,2,16.0,blank,blank,blank,,False
10,1995-11-01,"KA FU BLDG(Block B),CATCHICK ST|嘉富大廈B座,吉席街",3480.769230769231,672.0,520.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.81,1.81,3481.0,3480.769230769231,6452040.0,4774802.0,ASP,HKT,堅尼地城,1982/11,1982.0,44.0,1,13.0,B,blank,KA FU BLDG,嘉富大廈,False
11,1995-11-01,"KENNEDY TOWN CTR,KENNEDY TOWN PRAYA|堅城中心,堅彌地城海旁",5612.6984126984125,784.0,630.0,"{'bay_window': '43', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.536,3.536,5613.0,5612.6984126984125,6453180.0,4774275.0,ASP,HKT,堅尼地城,1994/06,1994.0,32.0,G,4.0,blank,blank,blank,,False
12,1995-11-01,"KENNEDY TOWN CTR,KENNEDY TOWN PRAYA|堅城中心,堅彌地城海旁",5939.739413680782,766.0,614.0,"{'bay_window': '43', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.647,3.647,5940.0,5939.739413680782,6453181.0,4774276.0,ASP,HKT,堅尼地城,1994/06,1994.0,32.0,C,5.0,blank,blank,blank,,False
14,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4807.073954983923,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.495,1.495,4807.0,4807.073954983923,6454126.0,4774258.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,5.0,blank,blank,blank,,False
15,1995-11-01,"JADE LOTUS GARDEN,CHING LIN TERR|翠荷苑,青蓮臺",4881.028938906752,449.0,311.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.518,1.518,4881.0,4881.028938906752,6454127.0,4774259.0,ASP,HKT,堅尼地城,1995/12,1995.0,31.0,C,6.0,blank,blank,blank,,False
16,1995-11-01,"HAN YU BLDG,CADOGAN ST|恒裕大廈,加多近街",3853.383458646616,338.0,266.0,"{'bay_window': '', 'flat_roof': '449', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.025,1.025,3853.0,3853.383458646616,6454276.0,4774237.0,ASP,HKT,堅尼地城,1980/10,1980.0,46.0,D,1.0,blank,blank,blank,,False
