,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4334.140127388535,910,785,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.899,3.4023,4967,4334.140127388535,6451764,4773768,ASP,HME,東半山,1978/02,1978,47,1,10.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
1,1996-01-23,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4946.624203821656,910,785,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.45,3.8831,5669,4946.624203821656,6523615,4795668,ASP,HME,東半山,1978/02,1978,47,1,21.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
2,1996-01-29,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4807.94701986755,862,755,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.63,3.63,4808,4807.94701986755,6538132,4800890,ASP,HME,東半山,1978/02,1978,47,4,5.0,B,blank,GRANDVIEW TOWER,慧景臺,False,POINT Z (22.272555 114.174256 0),22.272555,114.174256
3,1996-01-24,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5034.965034965035,827,715,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.6,3.6,5035,5034.965034965035,6551695,4807083,ASP,HME,東半山,1978/02,1978,47,3,7.0,B,blank,GRANDVIEW TOWER,慧景臺,False,POINT Z (22.272555 114.174256 0),22.272555,114.174256
4,1996-02-28,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5052.5874125874125,827,715,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.2,3.6126,5874,5052.5874125874125,6557820,4810373,ASP,HME,東半山,1978/02,1978,47,3,12.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
5,1996-03-27,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5411.048951048952,827,715,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.498,3.8689,6291,5411.048951048952,6588642,4823729,ASP,HME,東半山,1978/02,1978,47,3,27.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
6,1996-04-03,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5400.66225165563,862,755,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.7,4.077500000000001,6225,5400.66225165563,6596906,4821320,ASP,HME,東半山,1978/02,1978,47,4,11.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
7,1996-04-29,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5369.044585987263,910,785,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.83,4.214700000000001,6153,5369.044585987263,6607720,4829879,ASP,HME,東半山,1978/02,1978,47,1,12.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
8,1996-04-29,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5136.2913907284765,862,755,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.47,3.8779,5921,5136.2913907284765,6614061,4832653,ASP,HME,東半山,1978/02,1978,47,4,2.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
9,1996-05-01,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",5423.576158940396,862,755,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.72,4.094799999999999,6252,5423.576158940396,6643275,4844858,ASP,HME,東半山,1978/02,1978,47,4,16.0,B,blank,GRANDVIEW TOWER,慧景臺,True,POINT Z (22.272555 114.174256 0),22.272555,114.174256
