,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4334.140127388535,910,785,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.899,3.4023,4967,4334.140127388535,6451764,4773768,ASP,HME,東半山,1978/02,1978,46,1,10.0,B,blank,GRANDVIEW TOWER,慧景臺,True
5,1995-11-01,"MIRAMAR VILLA(Block E),SHIU FAI TERR|美麗村E座,肇輝臺",3247.3958333333335,0,960,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.48,3.1175,3625,3247.3958333333335,6472231,4780726,ASP,HME,東半山,1969/10,1969,55,8,11.0,E,blank,MIRAMAR VILLA,美麗村,True
8,1995-11-01,"CAMELOT HEIGHTS,KENNEDY RD|金鑾閣,堅尼地道",3697.5728155339807,1260,1030,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.218,3.8085,4095,3697.5728155339807,6476780,4788446,ASP,HME,東半山,1979/08,1979,45,C,9.0,blank,blank,blank,,True
10,1995-12-01,"CAMELOT HEIGHTS,KENNEDY RD|金鑾閣,堅尼地道",4558.349514563107,1260,1030,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.2,4.6951,5049,4558.349514563107,6479717,4789564,ASP,HME,東半山,1979/08,1979,45,C,11.0,blank,blank,blank,,True
11,1995-11-17,"MANDARIN VILLA(Block W),SHIU FAI TERR|文華新村W座,肇輝臺",3317.7177177177177,0,666,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.6,2.2096,3904,3317.7177177177177,6484586,4783322,ASP,HME,東半山,1973/06,1973,51,5,2.0,W,blank,MANDARIN VILLA,文華新村,True
12,1995-11-13,"GREENVILLE GARDENS(Block D),SHIU FAI TERR|嘉苑D座,肇輝臺",4975.4307116104865,1485,1335,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.18,6.6422,5378,4975.4307116104865,6484969,4786238,ASP,HME,東半山,1980/12,1980,44,1,22.0,D,blank,GREENVILLE GARDENS,嘉苑,True
13,1995-11-18,"EAST GARDEN,TUNG SHAN TERR|東園,東山臺",6505.75117370892,1077,852,"{'bay_window': '', 'flat_roof': '', 'roof': '836', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.28,5.5429,7371,6505.75117370892,6487636,4786888,ASP,HME,東半山,1994/05,1994,30,D,3.0,blank,blank,blank,,True
14,1995-12-08,"GREENVILLE GARDENS(Block A),SHIU FAI TERR|嘉苑A座,肇輝臺",4179.20463960232,1368,1207,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.5,5.0443,4557,4179.20463960232,6488766,4787245,ASP,HME,東半山,1974/08,1974,50,1,7.0,A,blank,GREENVILLE GARDENS,嘉苑,True
16,1996-01-02,"AMBER GARDEN,KENNEDY RD|柏苑,堅尼地道",5503.061224489796,1732,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.68,8.0895,5905,5503.061224489796,6500062,4789902,ASP,HME,東半山,1981/07,1981,43,C,16.0,blank,blank,blank,,True
20,1996-01-05,"GREENVILLE GARDENS(Block A),SHIU FAI TERR|嘉苑A座,肇輝臺",4310.420168067227,1355,1190,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.6,5.1294,4706,4310.420168067227,6506812,4790999,ASP,HME,東半山,1974/08,1974,50,3,5.0,A,blank,GREENVILLE GARDENS,嘉苑,True
21,1996-01-05,"WING FOOK COURT,KENNEDY RD|永福閣,堅尼地道",4890.526315789473,904,760,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.28,3.7168,5632,4890.526315789473,6514147,4792651,ASP,HME,東半山,1981/03,1981,43,B,13.0,blank,blank,blank,,True
22,1996-01-15,"GREENVILLE GARDENS(Block D),SHIU FAI TERR|嘉苑D座,肇輝臺",4797.25,1350,1200,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.28,5.7567,5233,4797.25,6514592,4792948,ASP,HME,東半山,1980/12,1980,44,4,4.0,D,blank,GREENVILLE GARDENS,嘉苑,True
24,1996-01-22,"AMBER GARDEN,KENNEDY RD|柏苑,堅尼地道",5325.578231292518,1732,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.4,7.828600000000001,5714,5325.578231292518,6521388,4794672,ASP,HME,東半山,1981/07,1981,43,C,10.0,blank,blank,blank,,True
27,1996-01-22,"AMBER GARDEN,KENNEDY RD|柏苑,堅尼地道",6612.585034013606,1732,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.43,9.7205,7095,6612.585034013606,6522866,4795285,ASP,HME,東半山,1981/07,1981,43,C,30.0,blank,blank,blank,,True
28,1996-01-15,"AMBER GARDEN,KENNEDY RD|柏苑,堅尼地道",5274.829931972789,1732,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.32,7.754,5660,5274.829931972789,6523005,4795530,ASP,HME,東半山,1981/07,1981,43,B,12.0,blank,blank,blank,,True
29,1996-01-23,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4946.624203821656,910,785,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.45,3.8831,5669,4946.624203821656,6523615,4795668,ASP,HME,東半山,1978/02,1978,46,1,21.0,B,blank,GRANDVIEW TOWER,慧景臺,True
30,1996-01-20,"MANDARIN VILLA(Block E),SHIU FAI TERR|文華新村E座,肇輝臺",3948.9539748953976,0,1195,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.15,4.719,4310,3948.9539748953976,6525134,4809925,ASP,HME,東半山,1973/05,1973,51,4,9.0,E,blank,MANDARIN VILLA,文華新村,True
31,1996-01-24,"MIRAMAR VILLA(Block W),SHIU FAI TERR|美麗村W座,肇輝臺",3779.2708333333335,0,960,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.05,3.6281,4219,3779.2708333333335,6529195,4796037,ASP,HME,東半山,1969/10,1969,55,4,6.0,W,blank,MIRAMAR VILLA,美麗村,True
32,1996-01-29,"MIRAMAR VILLA(Block E),SHIU FAI TERR|美麗村E座,肇輝臺",3713.9583333333335,0,960,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.98,3.5654,4146,3713.9583333333335,6534506,4799052,ASP,HME,東半山,1969/10,1969,55,6,11.0,E,blank,MIRAMAR VILLA,美麗村,True
33,1996-01-30,"GRANDVIEW TOWER(Block A),KENNEDY RD|慧景臺A座,堅尼地道",5342.281879194631,853,745,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.98,3.98,5342,5342.281879194631,6534531,4799056,ASP,HME,東半山,1978/02,1978,46,3,19.0,A,blank,GRANDVIEW TOWER,慧景臺,False
34,1996-02-01,"CAMELOT HEIGHTS,KENNEDY RD|金鑾閣,堅尼地道",5040.485436893204,1260,1030,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.75,5.1917,5583,5040.485436893204,6536247,4800305,SUB-ASP,HME,東半山,1979/08,1979,45,C,11.0,blank,blank,blank,,True
35,1996-01-29,"GRANDVIEW TOWER(Block B),KENNEDY RD|慧景臺B座,堅尼地道",4807.94701986755,862,755,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.63,3.63,4808,4807.94701986755,6538132,4800890,ASP,HME,東半山,1978/02,1978,46,4,5.0,B,blank,GRANDVIEW TOWER,慧景臺,False
37,1996-02-05,"GRANDVIEW TOWER(Block A),KENNEDY RD|慧景臺A座,堅尼地道",5714.265734265734,827,715,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.75,4.0857,6643,5714.265734265734,6541031,4802979,ASP,HME,東半山,1978/02,1978,46,4,23.0,A,blank,GRANDVIEW TOWER,慧景臺,True
38,1996-02-12,"EWAN COURT,KENNEDY RD|倚雲閣,堅尼地道",5305.0,1468,1220,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.05,6.4721,5779,5305.0,6543582,4802762,ASP,HME,東半山,1978/06,1978,46,D,10.0,blank,blank,blank,,True
39,1996-02-08,"WING FOOK COURT,KENNEDY RD|永福閣,堅尼地道",4799.210526315789,904,760,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.2,3.6474,5526,4799.210526315789,6543821,4803630,ASP,HME,東半山,1981/03,1981,43,A,8.0,blank,blank,blank,,True
40,1996-02-07,"WELL VIEW VILLA,TUNG SHAN TERR|瑩景閣,東山臺",4719.4047619047615,1037,840,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.5,3.9643,5357,4719.4047619047615,6544929,4804169,ASP,HME,東半山,1982/04,1982,42,C,1.0,blank,blank,blank,,True
42,1996-02-16,"CAMELOT HEIGHTS,KENNEDY RD|金鑾閣,堅尼地道",5078.491171749599,1520,1246,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.88,6.3278,5522,5078.491171749599,6547317,4805079,ASP,HME,東半山,1979/08,1979,45,B,7.0,blank,blank,blank,,True
