,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4066.860465116279,457.0,344.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.399,1.399,4067.0,4066.860465116279,6450985.0,4773683.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,A,13.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
1,1995-12-06,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",3776.470588235294,302.0,255.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.963,0.963,3776.0,3776.470588235294,6509357.0,4791693.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,C,7.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
2,1996-04-30,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",5411.764705882353,302.0,255.0,"{'bay_window': '', 'flat_roof': '279', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,5412.0,5411.764705882353,6636773.0,4841984.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,B,1.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
3,1996-05-01,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4950.495049504951,425.0,303.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4950.0,4950.495049504951,6660167.0,4846577.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,A,20.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
4,1996-06-01,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4451.476793248945,309.0,237.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.055,1.055,4451.0,4451.476793248945,6675276.0,4854695.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,E,11.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
5,1996-07-01,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4509.803921568628,302.0,255.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.15,1.15,4510.0,4509.803921568628,6678669.0,4856757.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,C,18.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
6,1996-11-16,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4931.506849315068,286.0,219.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.08,1.08,4932.0,4931.506849315068,6845144.0,4900337.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,F,4.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
7,1996-11-08,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",5753.424657534247,286.0,219.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.26,1.26,5753.0,5753.424657534247,6862103.0,4926193.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,F,16.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
8,1996-10-31,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4337.899543378995,286.0,219.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.95,0.95,4338.0,4337.899543378995,6971828.0,4948998.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,F,9.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
9,1996-05-27,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4506.329113924051,309.0,237.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.068,1.068,4506.0,4506.329113924051,7033044.0,4949318.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,E,16.0,blank,blank,blank,,False,POINT Z (22.2795686 114.2299247 0),22.2795686,114.2299247
