,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"TUNG KEUNG BLDG,SHAU KEI WAN MAIN ST E|東強大廈,筲箕灣東大街",4066.860465116279,457.0,344.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.399,1.399,4067.0,4066.860465116279,6450985.0,4773683.0,ASP,HSKW,筲箕灣/西灣河,1979/09,1979.0,47.0,A,13.0,blank,blank,blank,,False
2,1995-11-01,"TAI ON BLDG,SHAU KEI WAN RD|太安樓,筲箕灣道",3268.0722891566265,0.0,332.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.085,1.085,3268.0,3268.0722891566265,6451487.0,4773676.0,ASP,HSKW,筲箕灣/西灣河,1968/05,1968.0,58.0,64,26.0,blank,blank,blank,,False
4,1995-11-01,"BELLEVE COURT(Block A),SUN SING ST|碧麗閣A座,新成街",4485.245901639344,401.0,305.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.368,1.368,4485.0,4485.245901639344,6451772.0,4773710.0,ASP,HSKW,筲箕灣/西灣河,1988/09,1988.0,38.0,2,11.0,A,blank,BELLEVE COURT,碧麗閣,False
5,1995-11-01,"PERFECT MOUNT GARDEN(Block E),PO MAN ST|峻峰花園E座,寶文街",4889.97555012225,488.0,409.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.0,2.0,4890.0,4889.97555012225,6453089.0,4775040.0,ASP,HSKW,筲箕灣/西灣河,1987/12,1987.0,39.0,6,13.0,E,blank,PERFECT MOUNT GARDEN,峻峰花園,False
6,1995-11-01,"FELICITY GARDEN(Block 2),SHAU KEI WAN RD|欣景花園2座,筲箕灣道",4616.564417177914,773.0,652.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.01,3.01,4617.0,4616.564417177914,6453992.0,4775613.0,ASP,HSKW,筲箕灣/西灣河,1990/02,1990.0,36.0,F,20.0,2,blank,FELICITY GARDEN,欣景花園,False
7,1995-11-01,"EASTWAY TOWERS,SHAU KEI WAN MAIN ST E|東威大廈,筲箕灣東大街",3209.8765432098767,467.0,405.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.3,1.3,3210.0,3209.8765432098767,6454274.0,4774202.0,ASP,HSKW,筲箕灣/西灣河,1976/11,1976.0,50.0,6,10.0,blank,blank,blank,,False
9,1995-11-01,"HONG WAH MANSION(Block 1),NAM HONG ST|康華大廈1座,南康街",5527.272727272727,371.0,275.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.52,1.52,5527.0,5527.272727272727,6455080.0,4774780.0,ASP,HSKW,筲箕灣/西灣河,1985/11,1985.0,41.0,F,17.0,1,blank,HONG WAH MANSION,康華大廈,False
10,1995-11-01,"HONG WAH MANSION(Block 1),NAM HONG ST|康華大廈1座,南康街",5016.949152542373,394.0,295.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,5017.0,5016.949152542373,6456170.0,4774781.0,ASP,HSKW,筲箕灣/西灣河,1985/11,1985.0,41.0,G,7.0,1,blank,HONG WAH MANSION,康華大廈,False
11,1995-11-01,"SUN SING CTR(Block A),SUN SING ST|新成中心A座,新成街",4620.689655172414,353.0,290.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.34,1.34,4621.0,4620.689655172414,6456837.0,4775201.0,ASP,HSKW,筲箕灣/西灣河,1983/04,1983.0,43.0,2,16.0,A,blank,SUN SING CTR,新成中心,False
15,1995-11-01,"LEE GA BLDG,SAI WAN HO ST|利基大廈,西灣河街",4407.673860911271,531.0,417.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.838,1.838,4408.0,4407.673860911271,6459517.0,4775984.0,ASP,HSKW,筲箕灣/西灣河,1981/09,1981.0,45.0,1,13.0,blank,blank,blank,,False
16,1995-11-01,"TAI ON BLDG,SHAU KEI WAN RD|太安樓,筲箕灣道",3217.391304347826,0.0,276.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.888,0.888,3217.0,3217.391304347826,6460133.0,4776122.0,ASP,HSKW,筲箕灣/西灣河,1968/05,1968.0,58.0,35,15.0,blank,blank,blank,,False
17,1995-11-01,"KAM HOI BLDG,SAI WAN HO ST|金海樓,西灣河街",3787.878787878788,464.0,330.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.25,1.25,3788.0,3787.878787878788,6460162.0,4775939.0,ASP,HSKW,筲箕灣/西灣河,1977/06,1977.0,49.0,C,18.0,blank,blank,blank,,False
18,1995-11-01,"WAH SING BLDG,HOI AN ST|華昇大廈,海晏街",5111.111111111111,412.0,270.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,5111.0,5111.111111111111,6460196.0,4776165.0,ASP,HSKW,筲箕灣/西灣河,1984/10,1984.0,42.0,B,14.0,blank,blank,blank,,False
19,1995-11-01,"TAI ON BLDG,SHAU KEI WAN RD|太安樓,筲箕灣道",3102.409638554217,0.0,332.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.03,1.03,3102.0,3102.409638554217,6460246.0,4776123.0,ASP,HSKW,筲箕灣/西灣河,1968/05,1968.0,58.0,44,23.0,blank,blank,blank,,False
20,1995-11-01,"CHEUNG HING BLDG,SAI WAN HO ST|長興大樓,西灣河街",4689.6551724137935,0.0,290.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.36,1.36,4690.0,4689.6551724137935,6460747.0,4775778.0,ASP,HSKW,筲箕灣/西灣河,1973/12,1973.0,53.0,D,18.0,blank,blank,blank,,False
22,1995-11-01,"TAI ON BLDG,SHAU KEI WAN RD|太安樓,筲箕灣道",3201.8072289156626,0.0,332.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.063,1.063,3202.0,3201.8072289156626,6461038.0,4776119.0,ASP,HSKW,筲箕灣/西灣河,1968/05,1968.0,58.0,61,27.0,blank,blank,blank,,False
23,1995-11-01,"PERFECT MOUNT GARDEN(Block E),PO MAN ST|峻峰花園E座,寶文街",4746.666666666667,534.0,450.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.136,2.136,4747.0,4746.666666666667,6461300.0,4777189.0,ASP,HSKW,筲箕灣/西灣河,1987/12,1987.0,39.0,4,20.0,E,blank,PERFECT MOUNT GARDEN,峻峰花園,False
24,1995-11-01,"KAM HOI BLDG,SAI WAN HO ST|金海樓,西灣河街",3636.3636363636365,464.0,330.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.2,1.2,3636.0,3636.3636363636365,6461596.0,4775938.0,ASP,HSKW,筲箕灣/西灣河,1977/06,1977.0,49.0,C,19.0,blank,blank,blank,,False
25,1995-11-01,"EASTWAY TOWERS,SHAU KEI WAN MAIN ST E|東威大廈,筲箕灣東大街",3475.0,464.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.39,1.39,3475.0,3475.0,6462437.0,4775814.0,ASP,HSKW,筲箕灣/西灣河,1976/11,1976.0,50.0,15,16.0,blank,blank,blank,,False
27,1995-11-01,"FELICITY GARDEN(Block 2),SHAU KEI WAN RD|欣景花園2座,筲箕灣道",4483.695652173913,867.0,736.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.3,3.3,4484.0,4483.695652173913,6462476.0,4776560.0,ASP,HSKW,筲箕灣/西灣河,1990/02,1990.0,36.0,H,13.0,2,blank,FELICITY GARDEN,欣景花園,False
28,1995-11-01,"TAI ON BLDG,SHAU KEI WAN RD|太安樓,筲箕灣道",3283.132530120482,0.0,332.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.09,1.09,3283.0,3283.132530120482,6462619.0,4776120.0,ASP,HSKW,筲箕灣/西灣河,1968/05,1968.0,58.0,26,28.0,blank,blank,blank,,False
30,1995-11-01,"EASTWAY TOWERS,SHAU KEI WAN MAIN ST E|東威大廈,筲箕灣東大街",3608.695652173913,538.0,460.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.66,1.66,3609.0,3608.695652173913,6463053.0,4775815.0,ASP,HSKW,筲箕灣/西灣河,1976/11,1976.0,50.0,21,17.0,blank,blank,blank,,False
35,1995-11-01,"SHAUKIWAN CTR(Block C),SHAU KEI WAN RD|筲箕灣中心C座,筲箕灣道",3951.8900343642613,373.0,291.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.15,1.15,3952.0,3951.8900343642613,6464881.0,4777326.0,ASP,HSKW,筲箕灣/西灣河,1982/12,1982.0,44.0,G,3.0,C,blank,SHAUKIWAN CTR,筲箕灣中心,False
36,1995-11-01,"PERFECT MOUNT GARDEN(Block E),PO MAN ST|峻峰花園E座,寶文街",4897.49430523918,524.0,439.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.15,2.15,4897.0,4897.49430523918,6464886.0,4777190.0,ASP,HSKW,筲箕灣/西灣河,1987/12,1987.0,39.0,3,9.0,E,blank,PERFECT MOUNT GARDEN,峻峰花園,False
37,1995-11-01,"HONG WAH MANSION(Block 1),NAM HONG ST|康華大廈1座,南康街",5509.090909090909,371.0,275.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.515,1.515,5509.0,5509.090909090909,6465072.0,4779059.0,ASP,HSKW,筲箕灣/西灣河,1985/11,1985.0,41.0,C,19.0,1,blank,HONG WAH MANSION,康華大廈,False
