,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
9,1995-11-01,"STANFORD VILLA(Block 1),STANLEY VILLAGE RD|旭日居1座,赤柱村道",7837.311703360371,1052.0,863.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '968', 'garden': '', 'yard': ''}",7.65,6.7636,8864.0,7837.311703360371,6461437.0,4777401.0,ASP,HSL,赤柱,1995/09,1995.0,28.0,C,0.0,1,blank,STANFORD VILLA,旭日居,True
15,1995-11-01,"CARMEL HILL,CARMEL RD|海明山,佳美道",7277.227722772277,2434.0,2020.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '372', 'garden': '', 'yard': ''}",14.7,14.7,7277.0,7277.227722772277,6466500.0,4777845.0,ASP,HSL,赤柱,1992/03,1992.0,31.0,1,0.0,blank,blank,blank,,False
18,1995-11-01,"STANFORD VILLA(Block 1),STANLEY VILLAGE RD|旭日居1座,赤柱村道",7376.245654692932,1052.0,863.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.2,6.3657,8343.0,7376.245654692932,6467688.0,4779662.0,SUB-ASP,HSL,赤柱,1995/09,1995.0,28.0,B,0.0,1,blank,STANFORD VILLA,旭日居,True
21,1995-11-01,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",3364.4859813084113,1238.0,1070.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.6,3.6,3364.0,3364.4859813084113,6469015.0,4777829.0,ASP,HSL,赤柱,1988/04,1988.0,35.0,E,1.0,blank,blank,blank,,False
38,1996-01-26,"STANFORD VILLA(Block 1),STANLEY VILLAGE RD|旭日居1座,赤柱村道",6966.512166859791,1052.0,863.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.8,6.0121,7879.0,6966.512166859791,6525328.0,4809972.0,ASP,HSL,赤柱,1995/09,1995.0,28.0,D,1.0,1,blank,STANFORD VILLA,旭日居,True
46,1996-01-19,"CHIK TAK MANSION,STANLEY NEW ST|積德樓,赤柱新街",4326.923076923077,508.0,416.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,4327.0,4326.923076923077,6528326.0,4797237.0,ASP,HSL,赤柱,1986/10,1986.0,37.0,B,2.0,blank,blank,blank,,False
48,1996-01-24,"YAU SHING LAU,STANLEY MAIN ST|友誠樓,赤柱大街",4614.035087719299,0.0,285.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.315,1.315,4614.0,4614.035087719299,6534149.0,4798982.0,ASP,HSL,赤柱,1988/07,1988.0,35.0,D,3.0,blank,blank,blank,,False
51,1996-02-02,"STANFORD VILLA(Block 1),STANLEY VILLAGE RD|旭日居1座,赤柱村道",7786.095017381227,1052.0,863.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.6,6.719399999999999,8806.0,7786.095017381227,6538223.0,4801482.0,ASP,HSL,赤柱,1995/09,1995.0,28.0,D,0.0,1,blank,STANFORD VILLA,旭日居,True
53,1996-02-01,"STANFORD VILLA(Block 1),STANLEY VILLAGE RD|旭日居1座,赤柱村道",7273.812282734645,1052.0,863.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.1,6.277299999999999,8227.0,7273.812282734645,6538999.0,4801664.0,ASP,HSL,赤柱,1995/09,1995.0,28.0,C,1.0,1,blank,STANFORD VILLA,旭日居,True
59,1996-02-12,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7362.251655629139,1544.0,1359.0,"{'bay_window': '', 'flat_roof': '', 'roof': '1337', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.8,10.0053,7947.0,7362.251655629139,6547106.0,4805015.0,ASP,HSL,赤柱,1988/04,1988.0,35.0,C,3.0,blank,blank,blank,,True
