,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4919.354838709677,431.0,372.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4919.0,4919.354838709677,6445953.0,4773482.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,B,15.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
1,1995-11-01,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4976.851851851852,501.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.15,2.15,4977.0,4976.851851851852,6452767.0,4774391.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,E,10.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
2,1996-02-14,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4838.709677419355,431.0,372.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,4839.0,4838.709677419355,6547434.0,4805362.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,B,4.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
3,1996-02-14,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4838.709677419355,431.0,372.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,4839.0,4838.709677419355,6547438.0,4805363.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,C,4.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
4,1996-02-26,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4486.111111111111,501.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.938,1.938,4486.0,4486.111111111111,6564923.0,4816754.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,A,16.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
5,1996-04-16,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",5238.425925925926,501.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.263,2.263,5238.0,5238.425925925926,6589524.0,4823915.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,D,23.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
6,1996-04-22,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4988.425925925926,501.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.155,2.155,4988.0,4988.425925925926,6626196.0,4836109.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,A,9.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
7,1996-06-29,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4784.94623655914,431.0,372.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.78,1.78,4785.0,4784.94623655914,6683374.0,4856719.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,F,16.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
8,1996-07-08,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",4919.354838709677,431.0,372.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4919.0,4919.354838709677,6694849.0,4863090.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,F,13.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
9,1996-08-22,"SUN SHING MANSION,QUEEN'S RD W|新城大廈,皇后大道西",5000.0,501.0,432.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.16,2.16,5000.0,5000.0,6755908.0,4880896.0,ASP,HSW,上環/西營盤,1985/11,1985.0,41.0,A,7.0,blank,blank,blank,,False,POINT Z (22.2868782 114.1484175 0),22.2868782,114.1484175
