,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",7326.860254083485,1334.0,1102.0,"{'bay_window': '7', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.88,8.074200000000001,8058.0,7326.860254083485,6457462.0,4775022.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,33.0,1,blank,PACIFIC VIEW,浪琴園,True
3,1995-11-01,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",7877.454299255247,1772.0,1477.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.48,11.635,8450.0,7877.454299255247,6470501.0,4780205.0,PRO-ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,16.0,5,blank,PACIFIC VIEW,浪琴園,True
4,1995-12-01,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",7260.889292196007,1334.0,1102.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.8,8.0015,7985.0,7260.889292196007,6474092.0,4781610.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,A,8.0,5,blank,PACIFIC VIEW,浪琴園,True
10,1995-12-15,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",7820.649966147596,1772.0,1477.0,"{'bay_window': '7', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.39,11.5511,8389.0,7820.649966147596,6498582.0,4784922.0,PRO-ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,A,27.0,1,blank,PACIFIC VIEW,浪琴園,True
13,1996-01-11,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",6996.823956442832,1334.0,1102.0,"{'bay_window': '7', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.48,7.710500000000001,7695.0,6996.823956442832,6511103.0,4791891.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,A,7.0,5,blank,PACIFIC VIEW,浪琴園,True
15,1996-01-19,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道",7450.125156445557,1906.0,1598.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '40', 'yard': ''}",12.7,11.9053,7947.0,7450.125156445557,6521425.0,4794678.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,2.0,4,blank,PACIFIC VIEW,浪琴園,True
16,1996-01-18,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",7695.099818511797,1334.0,1102.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.48,8.48,7695.0,7695.099818511797,6526415.0,4797971.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,A,27.0,5,blank,PACIFIC VIEW,浪琴園,False
18,1996-01-22,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",7194.827586206898,1334.0,1102.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.72,7.928700000000001,7913.0,7194.827586206898,6530949.0,4796557.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,7.0,1,blank,PACIFIC VIEW,浪琴園,True
19,1996-02-02,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道",7907.634543178974,1906.0,1598.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '40', 'yard': ''}",13.48,12.6364,8436.0,7907.634543178974,6531582.0,4797068.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,12.0,4,blank,PACIFIC VIEW,浪琴園,True
28,1996-02-16,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",8250.998185117967,1334.0,1102.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.0,9.0926,9074.0,8250.998185117967,6549751.0,4806369.0,SUB-ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,7.0,1,blank,PACIFIC VIEW,浪琴園,True
38,1996-02-14,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",8085.934664246824,1334.0,1102.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.8,8.9107,8893.0,8085.934664246824,6552965.0,4807730.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,A,34.0,5,blank,PACIFIC VIEW,浪琴園,True
39,1996-02-15,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",8931.618144888287,1772.0,1477.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.15,13.192,9580.0,8931.618144888287,6553563.0,4809622.0,ASP,HTT,大潭/石澳,1991/01,1991.0,33.0,B,16.0,5,blank,PACIFIC VIEW,浪琴園,True
