,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5486.666666666667,1807.0,1500.0,"{'bay_window': '29', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.23,8.23,5487.0,5486.666666666667,225055.0,4773744.0,ASP,ISL,離島,1995/08,1995.0,31.0,G,0.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
1,1995-11-01,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",4591.836734693878,1219.0,980.0,"{'bay_window': '39', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.5,4.5,4592.0,4591.836734693878,225273.0,4774624.0,ASP,ISL,離島,1995/08,1995.0,31.0,G,9.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
2,1995-12-06,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5473.098330241188,672.0,539.0,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.95,2.95,5473.0,5473.098330241188,225798.0,4789000.0,ASP,ISL,離島,1995/08,1995.0,31.0,A,15.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
3,1995-12-07,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5479.45205479452,542.0,438.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.4,2.4,5479.0,5479.45205479452,225958.0,4782954.0,SUB-ASP,ISL,離島,1995/08,1995.0,31.0,E,16.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
4,1995-12-20,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",4722.662440570523,783.0,631.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.98,2.98,4723.0,4722.662440570523,226343.0,4784523.0,ASP,ISL,離島,1995/08,1995.0,31.0,C,16.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
5,1996-01-24,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5309.033280507131,783.0,631.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.35,3.35,5309.0,5309.033280507131,226908.0,4795831.0,ASP,ISL,離島,1995/08,1995.0,31.0,C,12.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
6,1996-03-04,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5388.272583201268,783.0,631.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.4,3.4,5388.0,5388.272583201268,227831.0,4814793.0,ASP,ISL,離島,1995/08,1995.0,31.0,D,3.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
7,1996-02-28,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5499.207606973058,783.0,631.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.47,3.47,5499.0,5499.207606973058,227970.0,4816364.0,ASP,ISL,離島,1995/08,1995.0,31.0,C,6.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
8,1996-04-15,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",6347.03196347032,542.0,438.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.78,2.78,6347.0,6347.03196347032,228924.0,4827353.0,ASP,ISL,離島,1995/08,1995.0,31.0,F,18.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
9,1996-04-26,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5593.607305936073,542.0,438.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.45,2.45,5594.0,5593.607305936073,229079.0,4829973.0,ASP,ISL,離島,1995/08,1995.0,31.0,F,7.0,blank,blank,DISCOVERY BAY,愉景灣,False,POINT Z (22.2954075 114.0202286 0),22.2954075,114.0202286
