,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5486.666666666667,1807.0,1500.0,"{'bay_window': '29', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.23,8.23,5487.0,5486.666666666667,225055.0,4773744.0,ASP,ISL,離島,1995/08,1995.0,31.0,G,0.0,blank,blank,DISCOVERY BAY,愉景灣,False
26,1995-11-01,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",4591.836734693878,1219.0,980.0,"{'bay_window': '39', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.5,4.5,4592.0,4591.836734693878,225273.0,4774624.0,ASP,ISL,離島,1995/08,1995.0,31.0,G,9.0,blank,blank,DISCOVERY BAY,愉景灣,False
69,1995-11-24,"SUNRISE(DISCOVERY BAY),PARKRIDGE CRES|愉景灣(觀霞樓),明翠徑",3176.8707482993195,713.0,588.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.868,1.868,3177.0,3176.8707482993195,225452.0,4778615.0,ASP,ISL,離島,1982/07,1982.0,44.0,C,6.0,blank,blank,DISCOVERY BAY,愉景灣,False
75,1995-11-13,"MOUNTAIN VIEW(DISCOVERY BAY),PARKRIDGE CRES|愉景灣(觀峰閣),明翠徑",3069.977426636569,530.0,443.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.36,1.36,3070.0,3069.977426636569,225467.0,4778613.0,ASP,ISL,離島,1982/06,1982.0,44.0,E,3.0,blank,blank,DISCOVERY BAY,愉景灣,False
77,1995-11-17,"COSTA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海堤閣),海堤徑",5547.945205479452,542.0,438.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.43,2.43,5548.0,5547.945205479452,225483.0,4778604.0,ASP,ISL,離島,1995/08,1995.0,31.0,E,8.0,blank,blank,DISCOVERY BAY,愉景灣,False
83,1995-11-24,"COSTA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海堤閣),海堤徑",5071.315372424722,783.0,631.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.2,3.2,5071.0,5071.315372424722,225504.0,4778605.0,ASP,ISL,離島,1995/08,1995.0,31.0,C,10.0,blank,blank,DISCOVERY BAY,愉景灣,False
86,1995-11-15,"GREENERY CREST(Phase 1),Block 1,CHEUNG SHEK RD|碧濤軒1期,1座,長碩路",3503.3259423503328,494.0,451.0,"{'bay_window': '', 'flat_roof': '', 'roof': '418', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.58,1.58,3503.0,3503.3259423503328,225509.0,4778924.0,ASP,ISL,離島,1991/11,1991.0,35.0,C,2.0,1,1,GREENERY CREST,碧濤軒,False
124,1995-11-30,"WOODBURY COURT(DISCOVERY BAY),PARKVALE DR|愉景灣(寶怡閣),寶峰徑",3479.381443298969,895.0,776.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.7,2.7,3479.0,3479.381443298969,225721.0,4781901.0,ASP,ISL,離島,1988/04,1988.0,38.0,D,14.0,blank,blank,DISCOVERY BAY,愉景灣,False
132,1995-11-17,"ISLAND VIEW(DISCOVERY BAY),MIDDLE LANE|愉景灣(觀港樓),畔山徑",3273.040482342808,1338.0,1161.0,"{'bay_window': '74', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.8,3.8,3273.0,3273.040482342808,225760.0,4788799.0,ASP,ISL,離島,1985/09,1985.0,41.0,B,4.0,blank,blank,DISCOVERY BAY,愉景灣,False
138,1995-12-06,"ONDA COURT(DISCOVERY BAY),COSTA AVE|愉景灣(海濤閣),海堤徑",5473.098330241188,672.0,539.0,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.95,2.95,5473.0,5473.098330241188,225798.0,4789000.0,ASP,ISL,離島,1995/08,1995.0,31.0,A,15.0,blank,blank,DISCOVERY BAY,愉景灣,False
