,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"SUNPEACE COURT,BOUNDARY ST|日和閣,界限街",5661.682892906816,1662.0,1438.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.75,8.1415,6085.0,5661.682892906816,6450388.0,4773674.0,ASP,KHMT,何文田,1985/07,1985.0,41.0,C,3.0,blank,blank,blank,,True
2,1995-11-01,"KIU WANG MANSION,HOK YU LANE|僑宏大廈,學餘里",3969.0,0.0,1000.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.41,3.969,4410.0,3969.0,6450948.0,4773610.0,ASP,KHMT,何文田,1966/06,1966.0,60.0,E,12.0,blank,blank,blank,,True
4,1995-11-01,"THE CRESCENT(Block C),HO MAN TIN HILL RD|仁禮花園C座,何文田山道",10279.693308550186,2438.0,2152.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",23.2,22.1219,10781.0,10279.693308550186,6451231.0,4774014.0,ASP,KHMT,何文田,1987/07,1987.0,39.0,A,18.0,C,blank,THE CRESCENT,仁禮花園,True
5,1995-11-01,"PRINCE EDWARD TOWERS,PRINCE EDWARD RD W|愛華苑,太子道西",4618.490566037736,1000.0,795.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.2,3.6717,5283.0,4618.490566037736,6451951.0,4774366.0,ASP,KHMT,何文田,1975/06,1975.0,51.0,C,11.0,blank,blank,blank,,True
6,1995-11-01,"BELAIRE HEIGHTS,WATERLOO RD|碧儷閣,窩打老道",4558.73417721519,0.0,1185.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.9,5.402100000000001,4979.0,4558.73417721519,6451955.0,4774152.0,ASP,KHMT,何文田,1974/06,1974.0,52.0,B,11.0,blank,blank,blank,,True
8,1995-11-01,"CAMBRIDGE COURT,WATERLOO RD|冠華園,窩打老道",3244.9532710280373,0.0,1070.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.83,3.4721,3579.0,3244.9532710280373,6452267.0,4774163.0,ASP,KHMT,何文田,1965/06,1965.0,61.0,3,8.0,B,blank,blank,,True
9,1995-11-01,"ARRAN COURT,SHEK KU ST|毅廬,石鼓街",4760.544217687075,862.0,735.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.05,3.499,5510.0,4760.544217687075,6452652.0,4774148.0,ASP,KHMT,何文田,1979/08,1979.0,47.0,B,6.0,blank,blank,blank,,True
17,1995-11-01,"PERTH APTS(Block B1),PERTH ST|巴富洋樓B1座,巴富街",4541.344537815126,0.0,1190.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.9,5.4042,4958.0,4541.344537815126,6455244.0,4775041.0,ASP,KHMT,何文田,1980/06,1980.0,46.0,C,4.0,B1,blank,PERTH APTS,巴富洋樓,True
22,1995-11-01,"YEE FU BLDG,VALLEY RD|怡富大廈,山谷道",4400.0,359.0,250.0,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.1,1.1,4400.0,4400.0,6457260.0,4774451.0,ASP,KHMT,何文田,1985/05,1985.0,41.0,A,22.0,blank,blank,blank,,False
23,1995-11-01,"K.C.C. BLDG,LIBERTY AVE|九龍總商會大廈,自由道",5428.571428571428,660.0,525.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.85,2.85,5429.0,5428.571428571428,6457563.0,4774274.0,ASP,KHMT,何文田,1984/08,1984.0,42.0,C,23.0,blank,blank,blank,,False
