,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6174.807197943444,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.402,2.402,6175,6174.807197943444,6091300510043,1961370,ASP,KKAI,啟德,2006/11,2006,20,B,28.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
1,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",5469.2307692307695,523,390,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.133,2.133,5469,5469.2307692307695,6091600490018,1963621,ASP,KKAI,啟德,2006/11,2006,20,B,7.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
2,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",7913.04347826087,585,437,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.458,3.458,7913,7913.04347826087,6091902430047,1964600,ASP,KKAI,啟德,2006/11,2006,20,C,38.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
3,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6241.645244215938,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.428,2.428,6242,6241.645244215938,6092000360053,1966032,ASP,KKAI,啟德,2006/11,2006,20,B,40.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
4,2006-09-01,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6390.374331550802,504,374,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.39,2.39,6390,6390.374331550802,6092001040071,1965510,ASP,KKAI,啟德,2006/11,2006,20,H,45.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
5,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6269.922879177378,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.439,2.439,6270,6269.922879177378,6092001680162,1966017,ASP,KKAI,啟德,2006/11,2006,20,B,35.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
6,2006-08-30,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6016.172506738544,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.232,2.232,6016,6016.172506738544,6092100590190,1966409,ASP,KKAI,啟德,2006/11,2006,20,H,25.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
7,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6129.380053908356,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.274,2.274,6129,6129.380053908356,6092100590228,1966412,ASP,KKAI,啟德,2006/11,2006,20,H,31.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
8,2006-08-30,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",8466.257668711656,1099,815,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.9,6.9,8466,8466.257668711656,6092100590237,1966413,ASP,KKAI,啟德,2006/11,2006,20,F,46.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
9,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",5579.48717948718,523,390,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.176,2.176,5579,5579.48717948718,6092101630042,1966419,ASP,KKAI,啟德,2006/11,2006,20,G,7.0,3,blank,GRAND WATERFRONT,翔龍灣,False,POINT Z (22.3191879 114.1934938 0),22.3191879,114.1934938
