,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6174.807197943444,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.402,2.402,6175,6174.807197943444,6091300510043,1961370,ASP,KKAI,啟德,2006/11,2006,20,B,28.0,3,blank,GRAND WATERFRONT,翔龍灣,False
1,2006-08-31,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6174.807197943444,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.402,2.402,6175,6174.807197943444,6091301380015,1961383,ASP,KKAI,啟德,2006/11,2006,20,B,28.0,2,blank,GRAND WATERFRONT,翔龍灣,False
2,2006-09-01,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6082.051282051282,523,390,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.372,2.372,6082,6082.051282051282,6091502460014,1962610,ASP,KKAI,啟德,2006/11,2006,20,B,18.0,2,blank,GRAND WATERFRONT,翔龍灣,False
3,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",5469.2307692307695,523,390,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.133,2.133,5469,5469.2307692307695,6091600490018,1963621,ASP,KKAI,啟德,2006/11,2006,20,B,7.0,3,blank,GRAND WATERFRONT,翔龍灣,False
4,2006-09-07,"GRAND WATERFRONT(Block 6),SAN MA TAU ST|翔龍灣6座,新碼頭街",9246.4,846,625,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.779,5.779,9246,9246.4,6091900560049,1964390,ASP,KKAI,啟德,2006/11,2006,20,E,30.0,6,blank,GRAND WATERFRONT,翔龍灣,False
5,2006-09-01,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",7499.108734402851,757,561,"{'bay_window': '27', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.207,4.207,7499,7499.108734402852,6091900800135,1964396,ASP,KKAI,啟德,2006/11,2006,20,E,25.0,2,blank,GRAND WATERFRONT,翔龍灣,False
6,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",7913.04347826087,585,437,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.458,3.458,7913,7913.04347826087,6091902430047,1964600,ASP,KKAI,啟德,2006/11,2006,20,C,38.0,3,blank,GRAND WATERFRONT,翔龍灣,False
7,2006-08-31,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6385.44474393531,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.369,2.369,6385,6385.44474393531,6092000280028,1965471,ASP,KKAI,啟德,2006/11,2006,20,A,39.0,2,blank,GRAND WATERFRONT,翔龍灣,False
8,2006-08-31,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6385.44474393531,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.369,2.369,6385,6385.44474393531,6092000280034,1965472,ASP,KKAI,啟德,2006/11,2006,20,H,39.0,2,blank,GRAND WATERFRONT,翔龍灣,False
9,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6241.645244215938,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.428,2.428,6242,6241.645244215938,6092000360053,1966032,ASP,KKAI,啟德,2006/11,2006,20,B,40.0,3,blank,GRAND WATERFRONT,翔龍灣,False
10,2006-09-01,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6308.4832904884315,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.454,2.454,6308,6308.4832904884315,6092000490027,1966012,ASP,KKAI,啟德,2006/11,2006,20,B,37.0,2,blank,GRAND WATERFRONT,翔龍灣,False
11,2006-08-31,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6261.455525606469,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.323,2.323,6261,6261.455525606469,6092001040032,1965509,ASP,KKAI,啟德,2006/11,2006,20,H,25.0,2,blank,GRAND WATERFRONT,翔龍灣,False
12,2006-09-01,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6390.374331550802,504,374,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.39,2.39,6390,6390.374331550802,6092001040071,1965510,ASP,KKAI,啟德,2006/11,2006,20,H,45.0,3,blank,GRAND WATERFRONT,翔龍灣,False
13,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6269.922879177378,522,389,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.439,2.439,6270,6269.922879177378,6092001680162,1966017,ASP,KKAI,啟德,2006/11,2006,20,B,35.0,3,blank,GRAND WATERFRONT,翔龍灣,False
14,2006-08-31,"GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",6250.673854447439,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.319,2.319,6251,6250.673854447439,6092100230052,1966404,ASP,KKAI,啟德,2006/11,2006,20,H,31.0,2,blank,GRAND WATERFRONT,翔龍灣,False
15,2006-08-30,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6016.172506738544,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.232,2.232,6016,6016.172506738544,6092100590190,1966409,ASP,KKAI,啟德,2006/11,2006,20,H,25.0,3,blank,GRAND WATERFRONT,翔龍灣,False
18,2006-08-31,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",6129.380053908356,501,371,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.274,2.274,6129,6129.380053908356,6092100590228,1966412,ASP,KKAI,啟德,2006/11,2006,20,H,31.0,3,blank,GRAND WATERFRONT,翔龍灣,False
19,2006-08-30,"GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",8466.257668711656,1099,815,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.9,6.9,8466,8466.257668711656,6092100590237,1966413,ASP,KKAI,啟德,2006/11,2006,20,F,46.0,3,blank,GRAND WATERFRONT,翔龍灣,False
20,2006-09-08,"GRAND WATERFRONT(Block 6),SAN MA TAU ST|翔龍灣6座,新碼頭街",8532.859680284191,758,563,"{'bay_window': '25', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.804,4.804,8533,8532.859680284191,6092100670160,1966414,ASP,KKAI,啟德,2006/11,2006,20,F,20.0,6,blank,GRAND WATERFRONT,翔龍灣,False
