,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3791.044776119403,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.27,1.27,3791.0,3791.044776119403,6445215.0,4773540.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,5,8.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
1,1995-12-06,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3950.0,500.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.58,1.58,3950.0,3950.0,6486986.0,4786786.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,8,11.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
2,1995-11-21,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3550.0,500.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.42,1.42,3550.0,3550.0,6487235.0,4786835.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,8,3.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
3,1996-02-07,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3671.641791044776,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.23,1.23,3672.0,3671.641791044776,6552445.0,4807572.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,4,3.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
4,1996-02-29,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3864.864864864865,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.43,1.43,3865.0,3864.864864864865,6555544.0,4808336.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,2,4.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
5,1996-04-11,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3522.3880597014927,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.18,1.18,3522.0,3522.3880597014927,6588333.0,4823675.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,4,2.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
6,1996-04-16,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",4074.626865671642,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.365,1.365,4075.0,4074.626865671642,6605585.0,4829187.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,5,13.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
7,1996-04-29,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",4044.776119402985,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.355,1.355,4045.0,4044.776119402985,6613335.0,4832104.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,5,7.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
8,1996-04-26,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",4238.805970149254,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.42,1.42,4239.0,4238.805970149254,6614896.0,4832795.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,4,11.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
9,1996-05-11,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",4297.2972972972975,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.59,1.59,4297.0,4297.2972972972975,6639076.0,4843372.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,6,11.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
10,1996-07-05,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3959.45945945946,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.465,1.465,3959.0,3959.45945945946,6686351.0,4862272.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,6,7.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
11,1996-12-13,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3954.054054054054,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.463,1.463,3954.0,3954.054054054054,6902321.0,4939783.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,6,2.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
12,1997-01-13,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",4648.648648648648,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.72,1.72,4649.0,4648.648648648648,6903391.0,4960266.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,3,7.0,E,blank,WYLER GARDEN,偉恒昌新村,False,POINT Z (22.317566 114.192541 0),22.317566,114.192541
