,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"WEI CHIEN COURT(Block E,WYLER GARDEN),WAI KING ST|偉恒昌新村,E座(偉景閣),偉景街",3791.044776119403,394.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.27,1.27,3791.0,3791.044776119403,6445215.0,4773540.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,5,8.0,E,blank,WYLER GARDEN,偉恒昌新村,False
2,1995-11-01,"CHONG CHIEN COURT(Block D,WYLER GARDEN),TO KWA WAN RD|偉恒昌新村,D座(昌景閣),土瓜灣道",3734.782608695652,543.0,460.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.718,1.718,3735.0,3734.782608695652,6448566.0,4774074.0,ASP,KKC,九龍城,1978/01,1978.0,48.0,2,8.0,D,blank,WYLER GARDEN,偉恒昌新村,False
5,1995-11-01,"LUNG CHEUNG COURT,LUNG KONG RD|龍翔閣,龍崗道",3416.6666666666665,273.0,240.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.82,0.82,3417.0,3416.6666666666665,6451573.0,4773644.0,ASP,KKC,九龍城,1983/11,1983.0,43.0,B,4.0,blank,blank,blank,,False
9,1995-11-01,"HANG CHIEN COURT(Block J,WYLER GARDEN),WAI KING ST|偉恒昌新村,J座(恒景閣),偉景街",3729.7297297297296,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,3730.0,3729.7297297297296,6451922.0,4775494.0,ASP,KKC,九龍城,1979/02,1979.0,47.0,7,6.0,J,blank,WYLER GARDEN,偉恒昌新村,False
12,1995-11-01,"WEI CHIEN COURT(Block B,WYLER GARDEN),LONG YUET ST|偉恒昌新村,B座(偉景閣),朗月街",4192.982456140351,685.0,570.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.39,2.39,4193.0,4192.982456140351,6452638.0,4775495.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,1,6.0,B,blank,WYLER GARDEN,偉恒昌新村,False
16,1995-11-01,"WEI CHIEN COURT(Block A,WYLER GARDEN),WAI KING ST|偉恒昌新村,A座(偉景閣),偉景街",3567.5675675675675,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.32,1.32,3568.0,3567.5675675675675,6453909.0,4775496.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,7,6.0,A,blank,WYLER GARDEN,偉恒昌新村,False
18,1995-11-01,"WEI CHIEN COURT(Block G,WYLER GARDEN),WAI KING ST|偉恒昌新村,G座(偉景閣),偉景街",3810.810810810811,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.41,1.41,3811.0,3810.810810810811,6454307.0,4775497.0,ASP,KKC,九龍城,1979/05,1979.0,47.0,2,13.0,G,blank,WYLER GARDEN,偉恒昌新村,False
20,1995-11-01,"PEONY HEIGHTS,ARGYLE ST|碧佳閣,亞皆老街",5544.1478439425055,697.0,487.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.7,2.7,5544.0,5544.1478439425055,6454335.0,4774362.0,ASP,KKC,九龍城,1985/07,1985.0,41.0,D,7.0,blank,blank,blank,,False
27,1995-11-01,"HANG CHIEN COURT(Block H,WYLER GARDEN),WAI KING ST|偉恒昌新村,H座(恒景閣),偉景街",3729.7297297297296,444.0,370.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,3730.0,3729.7297297297296,6455927.0,4775492.0,PRO-ASP,KKC,九龍城,1979/02,1979.0,47.0,6,13.0,H,blank,WYLER GARDEN,偉恒昌新村,False
29,1995-11-01,"HANG CHIEN COURT(Block A,WYLER GARDEN),MEI KING ST|偉恒昌新村,A座(恒景閣),美景街",3200.0,500.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.28,1.28,3200.0,3200.0,6456648.0,4775493.0,ASP,KKC,九龍城,1979/02,1979.0,47.0,1,3.0,A,blank,WYLER GARDEN,偉恒昌新村,False
