,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3389.830508474576,617.0,531.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,3390.0,3389.830508474576,6448996.0,4773801.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,1,24.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
1,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3600.0,639.0,550.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.98,1.98,3600.0,3600.0,6450666.0,4773800.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,2,24.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
2,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3636.363636363637,639.0,550.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.0,2.0,3636.0,3636.363636363637,6466840.0,4779055.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,6,26.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
3,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3670.644391408114,488.0,419.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.538,1.538,3671.0,3670.644391408114,6468995.0,4779054.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,3,26.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
4,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3709.9811676082863,617.0,531.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.97,1.97,3710.0,3709.9811676082863,6477443.0,4788577.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,5,13.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
5,1996-01-09,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3801.909307875895,488.0,419.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.593,1.593,3802.0,3801.909307875895,6506849.0,4791003.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,3,18.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
6,1996-01-19,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3363.6363636363635,639.0,550.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.85,1.85,3364.0,3363.6363636363635,6519233.0,4794308.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,2,2.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
7,1996-01-10,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3550.0,466.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.42,1.42,3550.0,3550.0,6520286.0,4794309.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,8,6.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
8,1996-01-22,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3309.090909090909,639.0,550.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.82,1.82,3309.0,3309.090909090909,6528133.0,4797768.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,2,6.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
9,1996-01-29,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",4367.541766109785,488.0,419.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4368.0,4367.541766109785,6530851.0,4796535.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,3,32.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
10,1996-01-30,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3425.0,466.0,400.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.37,1.37,3425.0,3425.0,6541564.0,4803002.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,8,3.0,B,blank,HONG TIN COURT,康田苑,False,POINT Z (22.307761 114.234372 0),22.307761,114.234372
