,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
2,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3389.830508474576,617.0,531.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,3390.0,3389.830508474576,6448996.0,4773801.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,1,24.0,B,blank,HONG TIN COURT,康田苑,False
3,1995-11-01,"CONNIE TOWERS(Block A),HONG NING RD|康麗園A座,康寧道",3209.3023255813955,516.0,430.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,3209.0,3209.3023255813955,6450334.0,4773739.0,ASP,KKT,觀塘,1973/12,1973.0,53.0,3,10.0,A,blank,CONNIE TOWERS,康麗園,False
4,1995-11-01,"YUE MAN CTR(Block 2),NGAU TAU KOK RD|裕民中心2座,牛頭角道",3796.928327645051,684.0,586.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.225,2.225,3797.0,3796.928327645051,6450560.0,4773696.0,ASP,KKT,觀塘,1987/09,1987.0,39.0,A,12.0,2,blank,YUE MAN CTR,裕民中心,False
5,1995-11-01,"WO HONG HSE(Block B,HONG TIN COURT),KAI TIN RD|康田苑,B座(和康閣),啟田道",3600.0,639.0,550.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.98,1.98,3600.0,3600.0,6450666.0,4773800.0,ASP,KKT,觀塘,1981/06,1981.0,45.0,2,24.0,B,blank,HONG TIN COURT,康田苑,False
6,1995-11-01,"LOK NGA COURT(Block F),CHUN WAH RD|樂雅苑F座,振華道",3389.7216274089938,568.0,467.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.583,1.583,3390.0,3389.7216274089938,6450986.0,4773839.0,ASP,KKT,觀塘,1993/12,1993.0,33.0,2,18.0,F,blank,LOK NGA COURT,樂雅苑,False
11,1995-11-01,"SHUI WO HSE,KA LOK ST|瑞和樓,嘉樂街",3066.9144981412637,0.0,269.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.825,0.825,3067.0,3066.9144981412637,6454320.0,4774377.0,ASP,KKT,觀塘,1970/06,1970.0,56.0,F,19.0,blank,blank,blank,,False
19,1995-11-01,"KAI TIN TOWERS(Block B),KAI TIN RD|啟田大廈B座,啟田道",3219.6969696969695,603.0,528.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,3220.0,3219.6969696969695,6455764.0,4774804.0,ASP,KKT,觀塘,1979/05,1979.0,47.0,4,29.0,B,blank,KAI TIN TOWERS,啟田大廈,False
21,1995-11-01,"GOLDEN DRAGON GARDEN,KUNG LOK RD|金龍園,功樂道",3017.0434782608695,686.0,575.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.1,1.7348,3652.0,3017.0434782608695,6456672.0,4774224.0,ASP,KKT,觀塘,1976/12,1976.0,50.0,A,21.0,blank,blank,blank,,True
22,1995-11-01,"JOYFUL VILLAS,HONG LEE RD|樂意園,康利道",3281.7241379310344,681.0,580.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,1.9034,3966.0,3281.7241379310344,6457083.0,4774262.0,ASP,KKT,觀塘,1976/06,1976.0,50.0,7,28.0,blank,blank,blank,,True
23,1995-11-01,"GOLDEN DRAGON GARDEN,KUNG LOK RD|金龍園,功樂道",3700.550458715597,681.0,545.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.47,2.0168000000000004,4532.0,3700.550458715597,6457343.0,4774225.0,ASP,KKT,觀塘,1976/12,1976.0,50.0,D,23.0,blank,blank,blank,,True
25,1995-11-01,"PARK MANSION,TING YUE SQUARE|百富閣,定裕坊",4093.6555891238672,460.0,331.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.355,1.355,4094.0,4093.6555891238672,6458158.0,4776050.0,ASP,KKT,觀塘,1994/09,1994.0,32.0,D,7.0,blank,blank,blank,,False
33,1995-11-01,"YUE MAN CTR(Block 2),NGAU TAU KOK RD|裕民中心2座,牛頭角道",4088.5860306643954,695.0,587.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.4,2.4,4089.0,4088.5860306643954,6459837.0,4777685.0,ASP,KKT,觀塘,1987/09,1987.0,39.0,F,25.0,2,blank,YUE MAN CTR,裕民中心,False
36,1995-11-01,"HAMDEN COURT(Block B),HONG NING RD|康濤閣B座,康寧道",4179.104477611941,503.0,402.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.68,1.68,4179.0,4179.104477611941,6460993.0,4776656.0,ASP,KKT,觀塘,1985/05,1985.0,41.0,1,21.0,B,blank,HAMDEN COURT,康濤閣,False
39,1995-11-01,"ELLY HSE,HONG NING RD|益利洋樓,康寧道",3965.5172413793102,0.0,290.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.15,1.15,3966.0,3965.5172413793102,6461608.0,4775816.0,ASP,KKT,觀塘,1975/06,1975.0,51.0,B,12.0,blank,blank,blank,,False
41,1995-11-01,"LOK NGA COURT(Block F),CHUN WAH RD|樂雅苑F座,振華道",3087.248322147651,544.0,447.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,3087.0,3087.248322147651,6463057.0,4776916.0,ASP,KKT,觀塘,1993/12,1993.0,33.0,8,12.0,F,blank,LOK NGA COURT,樂雅苑,False
44,1995-11-01,"LOK NGA COURT(Block D),CHUN WAH RD|樂雅苑D座,振華道",3254.817987152034,568.0,467.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.52,1.52,3255.0,3254.817987152034,6463589.0,4776915.0,ASP,KKT,觀塘,1983/12,1983.0,43.0,6,20.0,D,blank,LOK NGA COURT,樂雅苑,False
