,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5555.555555555556,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.0,2.0,5556.0,5555.555555555556,6448781.0,4773648.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,13.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
1,1996-02-13,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",4716.666666666667,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.698,1.698,4717.0,4716.666666666667,6547576.0,4805269.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,2.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
2,1996-05-03,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5408.450704225352,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.92,1.92,5408.0,5408.450704225352,6625831.0,4835988.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,C,14.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
3,1996-06-01,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6750.0,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.43,2.43,6750.0,6750.0,6663996.0,4847740.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,7.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
4,1996-09-10,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5833.333333333333,490.0,360.0,"{'bay_window': '', 'flat_roof': '818', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.1,2.1,5833.0,5833.333333333333,6773354.0,4883538.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,A,1.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
5,1996-11-13,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6638.888888888889,470.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.39,2.39,6639.0,6638.888888888889,6839921.0,4911494.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,15.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
6,1996-11-29,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5070.422535211268,470.0,355.0,"{'bay_window': '', 'flat_roof': '569', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,5070.0,5070.422535211268,6859109.0,4925109.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,D,1.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
7,1997-02-03,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",7524.271677764515,470.0,355.0,"{'bay_window': '', 'flat_roof': '510', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.83,2.83,7972.0,7971.830985915493,6946721.0,4976249.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,C,1.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
8,1997-03-11,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6060.972702977993,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.365,2.365,6569.0,6569.444444444444,6999668.0,4992586.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,A,9.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
9,1997-03-27,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6367.242859811917,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.45,2.45,6901.0,6901.408450704225,7030038.0,4999202.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,D,10.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
10,1997-04-03,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6544.116526346819,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.58,2.58,7167.0,7166.666666666667,7042389.0,5014447.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,A,15.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
11,1997-03-21,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6237.29912797902,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.4,2.4,6761.0,6760.56338028169,7054525.0,5020396.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,D,8.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
12,1997-05-23,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6230.750438307136,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.53,2.53,7127.0,7126.760563380281,7117296.0,5044054.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,D,13.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
13,1997-06-27,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5873.175295153039,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.63,2.63,7306.0,7305.555555555556,7182384.0,5077122.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,A,4.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
14,1997-10-29,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",7078.505811936454,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.08,3.08,8676.0,8676.05633802817,7332633.0,5130046.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,C,15.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
15,1997-09-03,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",7025.044421056771,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.98,2.98,8278.0,8277.777777777777,7371596.0,5143713.0,SUB-ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,A,4.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
16,1999-01-22,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5592.013199721543,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.73,1.73,4873.0,4873.239436619719,7680949.0,137164.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,C,11.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
17,1999-03-01,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",6006.246136356235,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.81,1.81,5028.0,5027.777777777777,7720525.0,168851.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,14.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
18,2000-03-31,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",5083.657759354167,490.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,4111.0,4111.111111111111,8056922.0,426731.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,B,5.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
19,2000-08-11,"MANDARIN COURT,FLOWER MARKET RD|文華閣,花墟道",4646.693297808062,470.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.32,1.32,3718.0,3718.3098591549297,8189005.0,528795.0,ASP,KMK,旺角/大角咀,1980/09,1980.0,46.0,D,5.0,blank,blank,blank,,False,POINT Z (22.325008 114.1716637 0),22.325008,114.1716637
