,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4216.867469879519,604.0,415.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '416', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.75,1.75,4217.0,4216.867469879519,6450556.0,4774017.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,H,27.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
1,1995-11-29,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",3951.2195121951218,589.0,410.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.62,1.62,3951.0,3951.2195121951218,6486608.0,4786724.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,G,19.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
2,1996-01-15,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4512.195121951219,589.0,410.0,"{'bay_window': '30', 'flat_roof': '650', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.85,1.85,4512.0,4512.195121951219,6518848.0,4794591.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,G,3.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
3,1996-01-30,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4146.341463414634,589.0,410.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,4146.0,4146.341463414634,6531871.0,4797114.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,G,9.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
4,1996-03-18,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4617.64705882353,500.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.57,1.57,4618.0,4617.64705882353,6580957.0,4824769.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,A,5.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
5,1996-04-11,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4411.764705882353,500.0,340.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4412.0,4411.764705882353,6602647.0,4827664.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,B,19.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
6,1996-05-06,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4146.341463414634,589.0,410.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,4146.0,4146.341463414634,6623662.0,4837303.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,D,13.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
7,1996-05-10,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4352.941176470588,500.0,340.0,"{'bay_window': '29', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,4353.0,4352.941176470588,6629009.0,4839668.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,A,22.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
8,1996-05-13,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4240.963855421687,604.0,415.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.76,1.76,4241.0,4240.963855421687,6634659.0,4841197.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,C,17.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
9,1996-05-20,"TROPICANA GARDENS(Block B),LUNG CHEUNG RD|豪苑B座,龍翔道",4666.666666666667,486.0,330.0,"{'bay_window': '', 'flat_roof': '', 'roof': '319', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.54,1.54,4667.0,4666.666666666667,6637145.0,4842063.0,ASP,KSPK,新蒲崗/慈雲山,1985/09,1985.0,41.0,F,27.0,B,blank,TROPICANA GARDENS,豪苑,False,POINT Z (22.3420257 114.1971839 0),22.3420257,114.1971839
