,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4554.455445544554,0,505,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,2.3,4554,4554.455445544554,6453166,4774381,ASP,KTST,尖沙咀,1963/06,1963,63,D,7.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
1,1995-11-01,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",3883.720930232558,0,602,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.338,2.338,3884,3883.720930232558,6470173,4778225,ASP,KTST,尖沙咀,1963/06,1963,63,E,3.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
2,1996-01-12,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4514.851485148515,0,505,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.28,2.28,4515,4514.851485148515,6510640,4791841,ASP,KTST,尖沙咀,1963/06,1963,63,C,7.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
3,1996-05-08,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4554.455445544554,0,505,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,2.3,4554,4554.455445544554,6622531,4836098,ASP,KTST,尖沙咀,1963/06,1963,63,C,8.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
4,1996-06-01,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4560.0,0,500,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.28,2.28,4560,4560.0,6667871,4851398,ASP,KTST,尖沙咀,1963/00,1963,63,F,15.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
5,1996-07-05,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4152.8239202657805,0,602,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.5,2.5,4153,4152.8239202657805,6696714,4863071,ASP,KTST,尖沙咀,1963/06,1963,63,E,7.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
6,1996-09-06,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4887.2180451127815,0,665,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.25,3.25,4887,4887.2180451127815,6751559,4873732,ASP,KTST,尖沙咀,1963/06,1963,63,B,14.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
7,1997-11-13,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4416.15372577691,0,500,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,2.3,4600,4600.0,7355153,5140511,ASP,KTST,尖沙咀,1963/00,1963,63,F,8.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
8,1998-07-31,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4047.930177762632,0,602,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.0,2.0,3322,3322.2591362126245,7550853,14905,ASP,KTST,尖沙咀,1963/00,1963,63,E,14.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
9,1998-12-15,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4804.027354609199,0,602,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.98,1.98,3289,3289.0365448504986,7648361,110135,ASP,KTST,尖沙咀,1963/00,1963,63,E,13.0,blank,blank,blank,,False,POINT Z (22.300971 114.176141 0),22.300971,114.176141
