,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
341,1997-03-17,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",6213.005084715793,0.0,175.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.61,0.61,3486.0,3485.714285714286,7046116.0,5016424.0,ASP,KWTH,橫頭磡/黃大仙,1965/06,1965.0,58.0,30,5.0,blank,blank,blank,,False
354,1997-04-18,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",6745.8775341975315,0.0,220.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.78,0.78,3545.0,3545.4545454545455,7059089.0,5022552.0,ASP,KWTH,橫頭磡/黃大仙,1965/06,1965.0,58.0,B5,1.0,blank,blank,blank,,False
385,1997-05-30,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",5592.451995130006,0.0,265.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.8,0.8,3019.0,3018.867924528302,7122574.0,5045954.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,E19,3.0,blank,blank,blank,,False
413,1997-06-03,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",6453.328858533079,0.0,171.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.648,0.648,3789.0,3789.4736842105262,7164979.0,5071416.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,B6,3.0,blank,blank,blank,,False
415,1997-06-18,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",7720.093412245129,0.0,375.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,4533.0,4533.333333333333,7166939.0,5070489.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,F29 & F30,1.0,blank,blank,blank,,False
416,1997-05-30,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",6174.9990779560485,0.0,300.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.0,1.0,3333.0,3333.3333333333335,7167161.0,5052117.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,E22,2.0,blank,blank,blank,,False
436,1997-06-11,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",7362.805352076346,0.0,170.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.735,0.735,4324.0,4323.529411764706,7213823.0,5086736.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,G34,2.0,blank,blank,blank,,False
451,1997-07-17,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",7584.963986744898,0.0,225.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.99,0.99,4400.0,4400.0,7240409.0,5094956.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,F28,1.0,blank,blank,blank,,False
464,1997-09-11,"TSUI CHUK GARDEN(Block 12),CHUI CHUK ST|翠竹花園12座,翠竹街",7040.0539394265,659.0,590.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.338,2.338,3963.0,3962.7118644067796,7274628.0,5106638.0,ASP,KWTH,橫頭磡/黃大仙,1989/09,1989.0,34.0,H,26.0,12,blank,TSUI CHUK GARDEN,翠竹花園,False
479,1997-09-22,"TSUI CHUK GARDEN(Block 1),CHUI CHUK ST|翠竹花園1座,翠竹街",6829.273881359837,659.0,590.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.268,2.268,3844.0,3844.0677966101694,7300184.0,5115182.0,ASP,KWTH,橫頭磡/黃大仙,1989/09,1989.0,34.0,H,13.0,1,blank,TSUI CHUK GARDEN,翠竹花園,False
501,1997-10-20,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",8700.483890410067,0.0,260.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,5192.0,5192.307692307692,7337131.0,5132277.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,G33,2.0,blank,blank,blank,,False
508,1997-11-24,"TSUI CHUK GARDEN(Block 7),CHUI CHUK ST|翠竹花園7座,翠竹街",7082.148855903775,659.0,590.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,2.3,3898.0,3898.3050847457625,7351202.0,5136889.0,ASP,KWTH,橫頭磡/黃大仙,1989/09,1989.0,34.0,C,24.0,7,blank,TSUI CHUK GARDEN,翠竹花園,False
512,1997-10-18,"LUEN HOP BLDG,JUNCTION RD|聯合大樓,聯合道",6960.387112328054,0.0,130.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.54,0.54,4154.0,4153.846153846154,7358865.0,5141878.0,ASP,KWTH,橫頭磡/黃大仙,1965/00,1965.0,58.0,C7,4.0,blank,blank,blank,,False
519,1997-12-09,"FU NING HSE(Block B,Phase 2,FU KEUNG COURT),8 FU MEI ST|富強苑,2期,B座(富寧閣),8 富美街",10918.77085863809,827.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.6,3.6,5581.0,5581.395348837209,7369809.0,5143960.0,ASP,KWTH,橫頭磡/黃大仙,1993/01,1993.0,30.0,9,20.0,B,2,FU KEUNG COURT,富強苑,False
521,1997-12-15,"FU NING HSE(Block B,Phase 2,FU KEUNG COURT),8 FU MEI ST|富強苑,2期,B座(富寧閣),8 富美街",9730.542400812586,739.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.87,2.87,4974.0,4974.003466204506,7372647.0,5146098.0,ASP,KWTH,橫頭磡/黃大仙,1993/01,1993.0,30.0,6,7.0,B,2,FU KEUNG COURT,富強苑,False
523,1997-12-03,"KAM KWOK BLDG,JUNCTION RD|金國大樓,聯合道",7095.65885884094,330.0,295.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.07,1.07,3627.0,3627.1186440677966,7374575.0,5146361.0,ASP,KWTH,橫頭磡/黃大仙,1974/01,1974.0,49.0,K,1.0,blank,blank,blank,,False
524,1997-12-23,"TSUI CHUK GARDEN(Block 6),CHUI CHUK ST|翠竹花園6座,翠竹街",6317.153452501985,540.0,480.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.55,1.55,3229.0,3229.1666666666665,7380319.0,5146971.0,ASP,KWTH,橫頭磡/黃大仙,1989/09,1989.0,34.0,B,19.0,6,blank,TSUI CHUK GARDEN,翠竹花園,False
564,1998-03-30,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",7795.000668455517,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.48,2.48,3845.0,3844.9612403100773,7449831.0,5178044.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,2,8.0,F,3,FU KEUNG COURT,富強苑,False
570,1998-04-01,"FU YAT HSE(Block E,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,E座(富逸閣),8 富美街",8846.878275703319,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.63,2.63,4078.0,4077.5193798449613,7453677.0,5181568.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,9,10.0,E,3,FU KEUNG COURT,富強苑,False
598,1998-05-12,"FU HONG HSE(Block C,Phase 2,FU KEUNG COURT),8 FU MEI ST|富強苑,2期,C座(富康閣),8 富美街",9098.77500215537,827.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.56,2.56,3969.0,3968.9922480620153,7491741.0,5196969.0,ASP,KWTH,橫頭磡/黃大仙,1993/01,1993.0,30.0,9,23.0,C,2,FU KEUNG COURT,富強苑,False
605,1998-06-02,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",9524.073981149091,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.48,2.48,3845.0,3844.9612403100773,7498572.0,5199900.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,7,4.0,F,3,FU KEUNG COURT,富強苑,False
610,1998-06-17,"FU YAT HSE(Block E,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,E座(富逸閣),8 富美街",9058.106784707368,737.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.11,2.11,3657.0,3656.84575389948,7510906.0,5205829.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,6,14.0,E,3,FU KEUNG COURT,富強苑,False
614,1998-06-13,"FU YUE HSE(Block A,Phase 1,FU KEUNG COURT),8 FU MEI ST|富強苑,1期,A座(富裕閣),8 富美街",7662.900763366187,756.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.785,1.785,3094.0,3093.5875216637783,7515170.0,5207173.0,ASP,KWTH,橫頭磡/黃大仙,1991/01,1991.0,32.0,1,12.0,A,1,FU KEUNG COURT,富強苑,False
618,1998-06-29,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",10752.986752910263,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.8,2.8,4341.0,4341.085271317829,7520344.0,5208661.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,2,24.0,F,3,FU KEUNG COURT,富強苑,False
632,1998-07-24,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",8339.602887167532,737.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.82,1.82,3154.0,3154.2461005199307,7541318.0,5176.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,5,16.0,F,3,FU KEUNG COURT,富強苑,False
671,1998-11-12,"FU NING HSE(Block B,Phase 2,FU KEUNG COURT),8 FU MEI ST|富強苑,2期,B座(富寧閣),8 富美街",8745.183542006662,739.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.78,1.78,3085.0,3084.9220103986136,7611970.0,67127.0,ASP,KWTH,橫頭磡/黃大仙,1993/01,1993.0,30.0,1,8.0,B,2,FU KEUNG COURT,富強苑,False
673,1998-11-23,"FU WO HSE(Block D,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,D座(富和閣),8 富美街",8907.399112765394,513.0,401.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.26,1.26,3142.0,3142.14463840399,7618526.0,76633.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,8,22.0,D,3,FU KEUNG COURT,富強苑,False
676,1998-11-10,"FU WO HSE(Block D,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,D座(富和閣),8 富美街",8737.38363960529,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.988,1.988,3082.0,3082.170542635659,7623057.0,81786.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,7,12.0,D,3,FU KEUNG COURT,富強苑,False
684,1998-11-27,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",9361.482471005667,825.0,645.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.13,2.13,3302.0,3302.3255813953488,7631834.0,92811.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,2,2.0,F,3,FU KEUNG COURT,富強苑,False
688,1998-12-11,"FU NGA HSE(Block F,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,F座(富雅閣),8 富美街",8609.11782262286,737.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.77,1.77,3068.0,3067.590987868284,7638697.0,100536.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,9,14.0,F,3,FU KEUNG COURT,富強苑,False
692,1998-12-03,"FU WO HSE(Block D,Phase 3,FU KEUNG COURT),8 FU MEI ST|富強苑,3期,D座(富和閣),8 富美街",8511.839655135596,737.0,577.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.75,1.75,3033.0,3032.928942807626,7641356.0,103138.0,ASP,KWTH,橫頭磡/黃大仙,1995/02,1995.0,28.0,4,10.0,D,3,FU KEUNG COURT,富強苑,False
