,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3294.1176470588234,530.0,425.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.4,1.4,3294.0,3294.1176470588234,6449123.0,4773593.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,6,14.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
1,1996-05-16,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3294.1176470588234,530.0,425.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.4,1.4,3294.0,3294.1176470588234,6640377.0,4843679.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,6,12.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
2,1996-07-26,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3364.705882352941,530.0,425.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.43,1.43,3365.0,3364.705882352941,6707680.0,4869075.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,6,6.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
3,1996-10-28,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3500.0,749.0,600.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.1,2.1,3500.0,3500.0,6826332.0,4919025.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,5,10.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
4,1996-10-17,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3227.722772277228,640.0,505.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.63,1.63,3228.0,3227.722772277228,6843992.0,4899749.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,2,12.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
5,1996-11-04,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3482.3529411764707,530.0,425.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,3482.0,3482.3529411764707,6853623.0,4922289.0,PRO-ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,6,6.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
6,1996-12-04,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3524.7524752475247,640.0,505.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.78,1.78,3525.0,3524.7524752475247,6882104.0,4936344.0,PRO-ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,2,15.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
7,1996-11-30,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3423.913043478261,1153.0,920.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.15,3.15,3424.0,3423.913043478261,6884645.0,4937300.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,3-4,5.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
8,1997-01-11,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3818.181818181818,279.0,275.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.05,1.05,3818.0,3818.181818181818,6913005.0,4961740.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,8,10.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
9,1996-07-03,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3772.1518987341774,847.0,790.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.98,2.98,3772.0,3772.1518987341774,7023907.0,4949365.0,PRO-ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,1,12.0,blank,blank,HONOUR HSE,金勳大廈,False,POINT Z (22.308267 114.1711064 0),22.308267,114.1711064
