,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-06,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3210.702341137124,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.96,0.96,3211.0,3210.702341137124,240092.0,4777267.0,ASP,NSK,西貢,1987/01,1987.0,38.0,C,8.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
1,1996-01-19,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3341.1371237458197,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.999,0.999,3341.0,3341.1371237458197,242300.0,4798043.0,ASP,NSK,西貢,1987/01,1987.0,38.0,B,5.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
2,1996-02-13,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3545.150501672241,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.06,1.06,3545.0,3545.150501672241,243137.0,4806422.0,ASP,NSK,西貢,1987/01,1987.0,38.0,B,8.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
3,1996-02-28,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3388.5542168674697,885.0,664.0,"{'bay_window': '', 'flat_roof': '', 'roof': '500', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.25,2.25,3389.0,3388.5542168674697,243452.0,4814203.0,ASP,NSK,西貢,1987/01,1987.0,38.0,A,11.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
4,1996-07-05,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3946.488294314381,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.18,1.18,3946.0,3946.488294314381,253998.0,4864779.0,ASP,NSK,西貢,1987/01,1987.0,38.0,B,6.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
5,1996-09-14,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3879.598662207358,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.16,1.16,3880.0,3879.598662207358,258981.0,4887909.0,ASP,NSK,西貢,1987/01,1987.0,38.0,A,7.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
6,1996-12-10,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3946.488294314381,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.18,1.18,3946.0,3946.488294314381,263554.0,4928207.0,ASP,NSK,西貢,1987/01,1987.0,38.0,A,6.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
7,1997-04-30,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",8677.912581110882,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,4515.0,4515.05016722408,276521.0,5027183.0,ASP,NSK,西貢,1987/01,1987.0,38.0,C,7.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
8,1997-04-12,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",7131.536046967775,801.0,601.0,"{'bay_window': '', 'flat_roof': '', 'roof': '508', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.23,2.23,3710.0,3710.482529118136,281895.0,5039759.0,ASP,NSK,西貢,1987/01,1987.0,38.0,B,11.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
9,1997-04-28,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",8838.61466594627,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.375,1.375,4599.0,4598.662207357859,284212.0,5050314.0,ASP,NSK,西貢,1987/01,1987.0,38.0,B,8.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False,POINT Z (22.382957 114.2718 0),22.382957,114.2718
