,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4322.033898305085,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.785,1.785,4322.0,4322.033898305085,340618.0,4773754.0,ASP,NSS,北區,1995/11,1995.0,31.0,H,18.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
1,1995-11-01,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",3563.4328358208954,710.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.91,1.91,3563.0,3563.4328358208954,341305.0,4774661.0,ASP,NSS,北區,1995/11,1995.0,31.0,B,12.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
2,1995-11-01,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",3701.492537313433,710.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.984,1.984,3701.0,3701.492537313433,341306.0,4774662.0,ASP,NSS,北區,1995/11,1995.0,31.0,G,8.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
3,1995-11-01,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",3567.1641791044776,710.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.912,1.912,3566.0,3567.1641791044776,341307.0,4774663.0,ASP,NSS,北區,1995/11,1995.0,31.0,B,8.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
4,1995-11-21,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4324.519230769231,550.0,416.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.799,1.799,4325.0,4324.519230769231,341951.0,4778663.0,ASP,NSS,北區,1995/11,1995.0,31.0,C,19.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
5,1995-11-20,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4138.014527845036,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.709,1.709,4139.0,4138.014527845036,341952.0,4778664.0,ASP,NSS,北區,1995/11,1995.0,31.0,A,19.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
6,1995-11-20,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4191.283292978208,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.731,1.731,4191.0,4191.283292978208,341953.0,4778665.0,ASP,NSS,北區,1995/11,1995.0,31.0,H,19.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
7,1995-11-25,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4389.74358974359,519.0,390.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.712,1.712,4391.0,4389.74358974359,342430.0,4778666.0,ASP,NSS,北區,1995/11,1995.0,31.0,D,19.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
8,1995-11-20,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4263.922518159807,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.761,1.761,4264.0,4263.922518159807,342431.0,4778667.0,ASP,NSS,北區,1995/11,1995.0,31.0,H,26.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
9,1995-11-20,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4476.997578692494,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.849,1.849,4477.0,4476.997578692494,342432.0,4778668.0,ASP,NSS,北區,1995/11,1995.0,31.0,A,26.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
10,1995-11-18,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4087.686567164179,710.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.191,2.191,4087.0,4087.686567164179,342433.0,4778669.0,ASP,NSS,北區,1995/11,1995.0,31.0,B,35.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
11,1995-11-22,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4279.48717948718,519.0,390.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.669,1.669,4279.0,4279.48717948718,342434.0,4778670.0,ASP,NSS,北區,1995/11,1995.0,31.0,E,26.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
12,1995-11-15,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",3889.423076923077,550.0,416.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.618,1.618,3889.0,3889.423076923077,342452.0,4778688.0,ASP,NSS,北區,1995/11,1995.0,31.0,C,7.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
13,1995-11-27,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4396.634615384615,550.0,416.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.829,1.829,4397.0,4396.634615384615,343480.0,4780406.0,ASP,NSS,北區,1995/11,1995.0,31.0,F,26.0,7,blank,FLORA PLAZA,花都廣場,False,POINT Z (22.4854804 114.141195 0),22.4854804,114.141195
