,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"FLORA PLAZA(Block 7),PAK WO RD|花都廣場7座,百和路",4322.033898305085,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.785,1.785,4322.0,4322.033898305085,340618.0,4773754.0,ASP,NSS,北區,1995/11,1995.0,31.0,H,18.0,7,blank,FLORA PLAZA,花都廣場,False
2,1995-11-01,"COMFORT COURT,LUEN WO RD|錦福大廈,聯和道",4005.847953216374,496.0,342.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.37,1.37,4006.0,4005.847953216374,340685.0,4773575.0,ASP,NSS,北區,1993/12,1993.0,33.0,B,12.0,blank,blank,blank,,False
6,1995-11-01,"AVON PARK(Block 3),YAT MING RD|碧湖花園3座,一鳴路",4278.5388127853885,572.0,438.0,"{'bay_window': '23', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.874,1.874,4278.0,4278.5388127853885,340807.0,4773705.0,ASP,NSS,北區,1994/03,1994.0,32.0,D,28.0,3,blank,AVON PARK,碧湖花園,False
8,1995-11-01,"LUNG FUNG GARDEN(Block B),LUNG SUM AVE|龍豐花園B座,龍琛路",4165.680473372781,430.0,338.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.408,1.408,4166.0,4165.680473372781,340896.0,4774951.0,ASP,NSS,北區,1991/07,1991.0,35.0,1,22.0,B,blank,LUNG FUNG GARDEN,龍豐花園,False
10,1995-11-01,"CHEERFUL PARK(Block 4),KAT CHEUNG CRES|欣翠花園4座,吉祥街",3483.7133550488597,704.0,614.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.139,2.139,3484.0,3483.7133550488597,340926.0,4774546.0,ASP,NSS,北區,1992/04,1992.0,34.0,C,4.0,4,blank,CHEERFUL PARK,欣翠花園,False
11,1995-11-01,"FLORA PLAZA(Block 6),PAK WO RD|花都廣場6座,百和路",3781.7164179104484,706.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.027,2.027,3782.0,3781.7164179104484,340931.0,4774664.0,ASP,NSS,北區,1995/11,1995.0,31.0,B,23.0,6,blank,FLORA PLAZA,花都廣場,False
12,1995-11-01,"FLORA PLAZA(Block 6),PAK WO RD|花都廣場6座,百和路",4024.2537313432836,699.0,536.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.157,2.157,4024.0,4024.2537313432836,340932.0,4774665.0,ASP,NSS,北區,1995/11,1995.0,31.0,G,8.0,6,blank,FLORA PLAZA,花都廣場,False
13,1995-11-01,"FLORA PLAZA(Block 6),PAK WO RD|花都廣場6座,百和路",3735.0746268656712,706.0,536.0,"{'bay_window': '37', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.002,2.002,3735.0,3735.0746268656712,340933.0,4774666.0,ASP,NSS,北區,1995/11,1995.0,31.0,B,12.0,6,blank,FLORA PLAZA,花都廣場,False
14,1995-11-01,"FLORA PLAZA(Block 6),PAK WO RD|花都廣場6座,百和路",3899.253731343283,699.0,536.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.09,2.09,3899.0,3899.253731343283,340934.0,4774667.0,ASP,NSS,北區,1995/11,1995.0,31.0,G,12.0,6,blank,FLORA PLAZA,花都廣場,False
15,1995-11-01,"FLORA PLAZA(Block 2),PAK WO RD|花都廣場2座,百和路",4167.070217917675,549.0,413.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.721,1.721,4167.0,4167.070217917675,340981.0,4774668.0,ASP,NSS,北區,1995/11,1995.0,31.0,A,20.0,2,blank,FLORA PLAZA,花都廣場,False
18,1995-11-01,"SAN FUNG BLDG,SAN FUNG AVE|新豐大廈,新豐路",4138.888888888889,471.0,360.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.49,1.49,4139.0,4138.888888888889,341032.0,4774373.0,ASP,NSS,北區,1993/10,1993.0,33.0,D,19.0,blank,blank,blank,,False
22,1995-11-01,"AVON PARK(Block 3),YAT MING RD|碧湖花園3座,一鳴路",4559.19395465995,515.0,397.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.81,1.81,4559.0,4559.19395465995,341081.0,4774486.0,ASP,NSS,北區,1994/03,1994.0,32.0,E,9.0,3,blank,AVON PARK,碧湖花園,False
24,1995-11-01,"WOODLAND CREST(Block 6),TIN PING RD|奕翠園6座,天平路",3811.650485436893,1179.0,1030.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.926,3.926,3812.0,3811.650485436893,341092.0,4775479.0,ASP,NSS,北區,1996/06,1996.0,30.0,A,9.0,6,blank,WOODLAND CREST,奕翠園,False
25,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3602.8155339805835,1179.0,1030.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.11,3.710900000000001,3991.0,3602.8155339805835,341095.0,4775480.0,ASP,NSS,北區,1996/06,1996.0,30.0,A,9.0,8,blank,WOODLAND CREST,奕翠園,True
26,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3314.3315508021396,1063.0,935.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.47,3.0989000000000004,3711.0,3314.3315508021396,341098.0,4775481.0,ASP,NSS,北區,1996/06,1996.0,30.0,G,2.0,8,blank,WOODLAND CREST,奕翠園,True
27,1995-11-01,"WOODLAND CREST(Block 6),TIN PING RD|奕翠園6座,天平路",3807.608695652174,1049.0,920.0,"{'bay_window': '20', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.503,3.503,3808.0,3807.608695652174,341100.0,4775482.0,ASP,NSS,北區,1996/06,1996.0,30.0,G,6.0,6,blank,WOODLAND CREST,奕翠園,False
28,1995-11-01,"WOODLAND CREST(Block 3),TIN PING RD|奕翠園3座,天平路",3127.0588235294117,1063.0,935.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.274,2.9238,3502.0,3127.0588235294117,341101.0,4775483.0,ASP,NSS,北區,1996/06,1996.0,30.0,G,2.0,3,blank,WOODLAND CREST,奕翠園,True
29,1995-11-01,"WOODLAND CREST(Block 3),TIN PING RD|奕翠園3座,天平路",3421.9941348973607,1172.0,1023.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.88,3.5007,3793.0,3421.9941348973607,341104.0,4775484.0,ASP,NSS,北區,1996/06,1996.0,30.0,H,9.0,3,blank,WOODLAND CREST,奕翠園,True
30,1995-11-01,"WOODLAND CREST(Block 3),TIN PING RD|奕翠園3座,天平路",3383.1867057673508,1172.0,1023.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.461,3.461,3383.0,3383.1867057673508,341105.0,4775485.0,ASP,NSS,北區,1996/06,1996.0,30.0,H,2.0,3,blank,WOODLAND CREST,奕翠園,False
31,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3594.330400782014,1172.0,1023.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.677,3.677,3594.0,3594.330400782014,341106.0,4775486.0,ASP,NSS,北區,1996/06,1996.0,30.0,H,2.0,8,blank,WOODLAND CREST,奕翠園,False
32,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3604.594330400782,1172.0,1023.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.087,3.6875,3995.0,3604.594330400782,341107.0,4775487.0,ASP,NSS,北區,1996/06,1996.0,30.0,H,9.0,8,blank,WOODLAND CREST,奕翠園,True
33,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3519.0615835777126,1172.0,1023.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.99,3.6,3900.0,3519.0615835777126,341108.0,4775488.0,ASP,NSS,北區,1996/06,1996.0,30.0,H,6.0,8,blank,WOODLAND CREST,奕翠園,True
34,1995-11-01,"WOODLAND CREST(Block 8),TIN PING RD|奕翠園8座,天平路",3475.880469583778,1066.0,937.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.646,3.2569,3891.0,3475.880469583778,341110.0,4775489.0,ASP,NSS,北區,1996/06,1996.0,30.0,B,6.0,8,blank,WOODLAND CREST,奕翠園,True
35,1995-11-01,"WOODLAND CREST(Block 3),TIN PING RD|奕翠園3座,天平路",3419.6371398078977,1066.0,937.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.587,3.2042,3828.0,3419.6371398078977,341111.0,4775490.0,ASP,NSS,北區,1996/06,1996.0,30.0,B,9.0,3,blank,WOODLAND CREST,奕翠園,True
36,1995-11-01,"WOODLAND CREST(Block 2),TIN PING RD|奕翠園2座,天平路",3641.4563106796118,1179.0,1030.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.154,3.7507,4033.0,3641.4563106796118,341132.0,4775491.0,ASP,NSS,北區,1996/06,1996.0,30.0,D,7.0,2,blank,WOODLAND CREST,奕翠園,True
38,1995-11-01,"AVON PARK(Block 8),YAT MING RD|碧湖花園8座,一鳴路",4156.171284634761,515.0,397.0,"{'bay_window': '18', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.65,1.65,4156.0,4156.171284634761,341176.0,4774487.0,ASP,NSS,北區,1993/11,1993.0,33.0,D,10.0,8,blank,AVON PARK,碧湖花園,False
42,1995-11-01,"WOODLAND CREST(Block 2),TIN PING RD|奕翠園2座,天平路",3698.4466019417478,1179.0,1030.0,"{'bay_window': '28', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.219,3.8094,4096.0,3698.4466019417478,341191.0,4775415.0,ASP,NSS,北區,1996/06,1996.0,30.0,D,10.0,2,blank,WOODLAND CREST,奕翠園,True
