,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
2,1995-11-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3835.2272727272725,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,3835.0,3835.2272727272725,476588.0,4773508.0,ASP,NTP,大埔,1988/07,1988.0,38.0,G,26.0,2,blank,FORTUNE PLAZA,昌運中心,False
3,1995-11-01,"PLOVER COVE GARDEN(Block B),PLOVER COVE RD|寶湖花園B座,寶湖道",3559.322033898305,426.0,354.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.26,1.26,3559.0,3559.322033898305,476589.0,4773527.0,ASP,NTP,大埔,1990/05,1990.0,36.0,8,8.0,B,blank,PLOVER COVE GARDEN,寶湖花園,False
6,1995-11-01,"UPTOWN PLAZA(Block 2),NAM WAN RD|新達廣場2座,南運路",4490.506329113924,743.0,632.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.838,2.838,4491.0,4490.506329113924,476709.0,4774027.0,ASP,NTP,大埔,1991/04,1991.0,35.0,A,7.0,2,blank,UPTOWN PLAZA,新達廣場,False
7,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",4272.108843537415,573.0,441.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.884,1.884,4272.0,4272.108843537415,476720.0,4773612.0,ASP,NTP,大埔,1996/05,1996.0,30.0,C,5.0,blank,blank,blank,,False
8,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",4365.079365079365,573.0,441.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.925,1.925,4365.0,4365.079365079365,476721.0,4773613.0,ASP,NTP,大埔,1996/05,1996.0,30.0,C,6.0,blank,blank,blank,,False
9,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",4671.201814058957,573.0,441.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.06,2.06,4671.0,4671.201814058957,476722.0,4773614.0,ASP,NTP,大埔,1996/05,1996.0,30.0,C,7.0,blank,blank,blank,,False
10,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",4705.215419501134,573.0,441.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.075,2.075,4705.0,4705.215419501134,476723.0,4773615.0,ASP,NTP,大埔,1996/05,1996.0,30.0,C,8.0,blank,blank,blank,,False
11,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",4965.0,521.0,400.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.986,1.986,4965.0,4965.0,476724.0,4773616.0,ASP,NTP,大埔,1996/05,1996.0,30.0,D,11.0,blank,blank,blank,,False
12,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",5157.500000000001,521.0,400.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.063,2.063,5158.0,5157.500000000001,476725.0,4773617.0,ASP,NTP,大埔,1996/05,1996.0,30.0,D,18.0,blank,blank,blank,,False
14,1995-11-01,"LAGOON COURT,PLOVER COVE RD|麗湖閣,寶湖道",5192.5,521.0,400.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.077,2.077,5193.0,5192.5,476727.0,4773618.0,ASP,NTP,大埔,1996/05,1996.0,30.0,E,18.0,blank,blank,blank,,False
